Iteration	Posterior	Likelihood	Prior	sigma
0	-203.729	-167.164	-36.5652	8.38499
1000	-203.262	-161.706	-41.5562	6.48918
2000	-201.234	-162.612	-38.6224	7.45295
3000	-214.007	-173.893	-40.1145	7.69119
4000	-209.491	-165.591	-43.8994	6.83053
5000	-201.97	-166.605	-35.3655	10.0617
6000	-212.934	-175.401	-37.5334	8.60602
7000	-204.916	-163.248	-41.6683	6.67895
8000	-204.502	-167.998	-36.5034	9.75886
9000	-207.582	-166.554	-41.028	6.78452
10000	-218.126	-175.528	-42.5979	7.21645
11000	-210.233	-163.311	-46.9216	4.79752
12000	-203.105	-164.448	-38.6571	6.98117
13000	-200.444	-166.23	-34.2144	9.55181
14000	-204.58	-164.113	-40.4665	8.5016
15000	-198.559	-161.999	-36.5596	8.75582
16000	-211.696	-172.145	-39.5506	8.21173
17000	-203.636	-164.706	-38.9298	7.1307
18000	-207.531	-163.854	-43.677	6.98596
19000	-210.65	-165.386	-45.2645	5.49298
20000	-200.8	-164.315	-36.4849	8.33514
21000	-207.206	-164.555	-42.6512	6.99774
22000	-200.119	-165.37	-34.7497	8.00645
23000	-210.877	-171.902	-38.9747	8.02397
24000	-207.264	-169.695	-37.5688	9.02114
25000	-208.193	-166.789	-41.4035	7.3846
26000	-207.337	-170.679	-36.6581	8.71551
27000	-209.018	-166.297	-42.7214	6.5527
28000	-204.273	-163.698	-40.5748	6.53089
29000	-205.513	-166.347	-39.1661	7.49119
30000	-200.036	-161.423	-38.6128	7.9243
31000	-204.954	-163.891	-41.0623	5.90665
32000	-211.658	-170.788	-40.8708	8.17344
33000	-201.578	-165.08	-36.4988	8.32713
34000	-200.578	-163.047	-37.5313	8.55293
35000	-211.557	-173.398	-38.1585	9.14488
36000	-203.072	-164.324	-38.7484	7.31573
37000	-204.322	-159.746	-44.5766	6.55934
38000	-199.691	-161.812	-37.8791	7.95742
39000	-206.998	-168.719	-38.2793	8.00002
40000	-200.065	-160.873	-39.1916	7.47409
41000	-206.798	-166.693	-40.1052	7.99439
42000	-209.669	-170.684	-38.9843	8.95403
43000	-209.203	-170.135	-39.0686	7.45389
44000	-205.725	-165.075	-40.6502	7.40906
45000	-198.951	-163.556	-35.3954	9.21411
46000	-199.62	-166.346	-33.2749	11.8987
47000	-209.065	-168.192	-40.873	6.94548
48000	-205.608	-160.598	-45.0104	6.14752
49000	-203.547	-162.658	-40.8888	6.8994
50000	-203.448	-163.913	-39.5352	8.16263
51000	-203.543	-163.002	-40.5408	7.4469
52000	-204.245	-163.761	-40.4842	7.09702
53000	-200.97	-160.466	-40.5043	6.46544
54000	-203.228	-165.079	-38.1484	6.75291
55000	-207.836	-172.714	-35.1216	10.2155
56000	-209.773	-163.584	-46.1897	5.84536
57000	-207.155	-169.69	-37.4643	9.07999
58000	-202.562	-166.15	-36.4118	8.49898
59000	-203.114	-165.165	-37.9486	7.24401
60000	-211.361	-171.03	-40.331	7.94634
61000	-211.703	-169.844	-41.8587	7.91198
62000	-209.471	-168.982	-40.4894	7.3485
63000	-204.85	-162.682	-42.1681	6.5662
64000	-215.577	-170.472	-45.1046	7.02302
65000	-202.321	-162.364	-39.9578	7.57658
66000	-204.02	-165.388	-38.6322	7.14407
67000	-225.932	-162.558	-63.3744	4.15959
68000	-206.595	-166.994	-39.6012	8.22726
69000	-205.636	-163.25	-42.3865	7.56273
70000	-198.713	-162.117	-36.5964	8.99162
71000	-206.849	-166.687	-40.1622	6.6004
72000	-206.906	-167.91	-38.9966	7.89045
73000	-203.917	-164.89	-39.0266	7.65094
74000	-205.788	-165.998	-39.7899	6.85281
75000	-210.832	-173.063	-37.7689	8.76449
76000	-211.333	-171.171	-40.1614	7.60133
77000	-200.293	-162.426	-37.8673	7.9883
78000	-204.2	-165.11	-39.0905	6.82462
79000	-207.672	-168.829	-38.8434	7.88121
80000	-203.258	-166.794	-36.4644	9.56196
81000	-203.789	-169.668	-34.1206	9.29687
82000	-209.851	-171.422	-38.4292	10.23
83000	-199.451	-163.628	-35.8231	8.41501
84000	-205.117	-165.859	-39.2579	6.28438
85000	-206.796	-167.442	-39.3537	8.08674
86000	-207.931	-167.889	-40.0417	6.77518
87000	-204.698	-165.462	-39.2361	7.29365
88000	-205.563	-166.962	-38.6013	8.61796
89000	-205.232	-164.965	-40.2669	7.93534
90000	-203.584	-166.238	-37.3461	7.57569
91000	-210.59	-171.885	-38.7051	7.78117
92000	-210.282	-171.464	-38.818	9.80217
93000	-206.983	-161.329	-45.6542	5.36987
94000	-204.218	-165.951	-38.2667	7.51076
95000	-204.573	-166.667	-37.9057	9.17964
96000	-202.178	-167.139	-35.0397	10.8202
97000	-203.149	-166.073	-37.0763	8.11307
98000	-206.493	-166.736	-39.7566	7.65058
99000	-210.526	-172.363	-38.1632	9.72424
100000	-201.395	-162.777	-38.6184	7.00192
101000	-205.144	-165.058	-40.0863	7.43048
102000	-209.678	-165.241	-44.4368	6.9385
103000	-209.451	-170.332	-39.1184	7.24187
104000	-201.917	-165.97	-35.9474	10.0863
105000	-205.698	-164.925	-40.7724	6.8519
106000	-207.133	-164.558	-42.5748	7.00967
107000	-206.396	-166.083	-40.3127	7.70428
108000	-210.851	-171.621	-39.23	8.83067
109000	-207.292	-169.789	-37.503	10.3043
110000	-204.247	-163.503	-40.7434	7.34765
111000	-204.848	-170.967	-33.8806	10.8545
112000	-209.267	-166.86	-42.4073	6.83395
113000	-200.52	-162.353	-38.1678	8.19836
114000	-205.434	-169.939	-35.495	7.99534
115000	-203.122	-167.056	-36.0657	8.18712
116000	-205.566	-164.538	-41.0278	7.31022
117000	-205.818	-168.758	-37.0596	9.33766
118000	-215.317	-177.008	-38.3092	8.64031
119000	-201.568	-162.142	-39.4264	8.09253
120000	-202.872	-166.046	-36.8266	7.2512
121000	-207.162	-163.25	-43.9121	5.88774
122000	-209.058	-168.37	-40.6879	6.97964
123000	-205.345	-164.872	-40.4735	6.91311
124000	-201.74	-162.75	-38.9901	7.36477
125000	-209.093	-163.19	-45.9028	5.62349
126000	-202.334	-165.37	-36.9644	9.34388
127000	-203.155	-165.648	-37.507	8.65376
128000	-208.893	-170.025	-38.8676	6.3549
129000	-215.432	-175.537	-39.8945	7.59073
130000	-210.952	-163.833	-47.1195	5.66729
131000	-210.311	-167.734	-42.577	8.37369
132000	-208.283	-174.379	-33.9037	12.6448
133000	-205.653	-170.789	-34.8641	11.8447
134000	-203.759	-166.381	-37.3778	7.38819
135000	-209.926	-164.799	-45.1272	5.20666
136000	-205.986	-167.063	-38.9229	8.13453
137000	-209.938	-166.919	-43.0188	7.73085
138000	-205.727	-171.192	-34.5347	11.0658
139000	-205.792	-165.2	-40.5926	7.51037
140000	-207.947	-174.605	-33.3424	12.9933
141000	-201.989	-169.46	-32.5292	12.497
142000	-203.756	-162.932	-40.824	7.64923
143000	-203.814	-167.987	-35.8269	7.20321
144000	-204.223	-164.466	-39.7562	7.15827
145000	-200.333	-163.151	-37.1827	7.89535
146000	-209.16	-169.218	-39.9418	8.32119
147000	-198.829	-165.248	-33.5807	11.9365
148000	-206.506	-166.652	-39.8534	6.96948
149000	-205.04	-162.418	-42.622	6.77837
150000	-204.207	-166.437	-37.7702	8.19996
151000	-207.491	-169.077	-38.4143	8.16751
152000	-209.168	-169.778	-39.3904	7.55997
153000	-211.378	-172.243	-39.1351	9.96704
154000	-201.534	-160.959	-40.5757	6.23451
155000	-202.938	-168.508	-34.4305	8.83523
156000	-202.028	-162.844	-39.1839	6.69194
157000	-207.691	-164.555	-43.1361	7.46256
