Iteration	Posterior	Likelihood	Prior	sigma
0	-311.546	-232.539	-79.0073	15.6344
1000	-304.974	-229.307	-75.6668	21.993
2000	-304.478	-232.753	-71.7245	22.2187
3000	-309.705	-240.632	-69.0737	31.9274
4000	-307.243	-232.899	-74.3443	23.4283
5000	-302.416	-228.188	-74.2283	19.6918
6000	-308.967	-239.495	-69.4726	32.3633
7000	-322.535	-250.767	-71.7681	33.6996
8000	-310.517	-233.733	-76.7842	22.6505
9000	-304.961	-236.734	-68.2262	32.8358
10000	-307.791	-234.311	-73.4799	24.4021
11000	-301.112	-233.063	-68.0495	29.7339
12000	-305.454	-231.532	-73.922	22.545
13000	-314.723	-243.151	-71.572	29.7214
14000	-308.509	-242.583	-65.9262	44.6979
15000	-319.069	-242.549	-76.5199	31.0693
16000	-310.853	-242.371	-68.4819	33.9724
17000	-300.402	-233.597	-66.805	32.7774
18000	-307.393	-233.003	-74.39	25.7828
19000	-311.242	-235.152	-76.0903	27.0633
20000	-306.074	-229.144	-76.9304	22.0026
21000	-304.701	-234.797	-69.9042	31.1563
22000	-310.988	-236.978	-74.0103	27.4471
23000	-308.94	-233.553	-75.3871	21.9033
24000	-311.679	-234.841	-76.8381	26.3115
25000	-305.519	-232.055	-73.4633	25.8066
26000	-302.044	-233.954	-68.0907	29.9107
27000	-312.732	-234.71	-78.0211	21.245
28000	-308.671	-232.368	-76.3024	25.0085
29000	-312.246	-232.557	-79.6889	21.4351
30000	-307.541	-228.103	-79.4372	16.9808
31000	-304.325	-238.495	-65.83	33.455
32000	-311.634	-232.794	-78.8403	18.4335
33000	-315.418	-228.42	-86.9974	16.0373
34000	-311.379	-235.498	-75.8813	26.7598
35000	-310.548	-234.016	-76.5316	23.4149
36000	-312.758	-234.592	-78.1659	24.5235
37000	-314.666	-247.039	-67.6271	45.7087
38000	-307.943	-235.09	-72.8534	27.9568
39000	-306.631	-240.697	-65.9339	34.6483
40000	-302.393	-228.698	-73.6954	22.1678
41000	-315.247	-240.119	-75.1279	24.6099
42000	-309.414	-236.799	-72.6152	25.2426
43000	-308.681	-230.9	-77.7814	21.8198
44000	-312.013	-238.021	-73.9923	29.2963
45000	-306.811	-232.05	-74.7612	22.7163
46000	-311.651	-232.38	-79.2708	19.6294
47000	-313.494	-233.616	-79.8787	22.7643
48000	-314.183	-234.872	-79.3114	22.2603
49000	-308.809	-228.078	-80.7312	19.3816
50000	-316.319	-240.93	-75.3896	27.4649
51000	-306.571	-233.497	-73.074	26.6469
52000	-306.378	-235.935	-70.443	33.7037
53000	-305.32	-228.562	-76.7581	21.235
54000	-302.992	-235.05	-67.9421	31.8195
55000	-306.476	-229.751	-76.7253	20.7783
56000	-306.982	-229.798	-77.1836	22.3007
57000	-304.345	-229.67	-74.6747	20.7554
58000	-307.761	-238.079	-69.6818	33.9791
59000	-306.163	-231.291	-74.872	21.6127
60000	-313.864	-234.789	-79.0744	22.0685
61000	-305.994	-233.027	-72.967	23.4205
62000	-306.208	-232.785	-73.4236	26.5548
63000	-313.901	-240.432	-73.4691	26.8078
64000	-318.003	-241.537	-76.4658	26.8514
65000	-307.631	-233.242	-74.3893	21.5165
66000	-309.608	-237.358	-72.2504	23.266
67000	-311.313	-232.904	-78.4088	23.1248
68000	-306.556	-237.06	-69.4956	32.2181
69000	-307.169	-235.414	-71.7553	27.2919
70000	-319.155	-236.648	-82.5075	21.245
71000	-302.028	-231.342	-70.6853	21.572
72000	-312.273	-242.36	-69.9133	30.0193
73000	-307.293	-239.031	-68.2615	33.5104
74000	-301.069	-224.454	-76.6143	19.5453
75000	-317.35	-241.854	-75.4954	26.1381
76000	-300.383	-230.554	-69.8286	26.485
77000	-308.466	-229.269	-79.1968	20.4284
78000	-308.52	-232.878	-75.6421	20.442
79000	-299.271	-228.506	-70.7649	24.9049
80000	-306.51	-231.797	-74.7124	22.1629
81000	-299.863	-227.308	-72.5551	22.361
82000	-312.756	-233.853	-78.9032	20.1238
83000	-319.97	-245.334	-74.6368	27.3498
84000	-304.605	-229.721	-74.8843	19.3125
85000	-320.476	-241.549	-78.9274	23.2609
86000	-309.16	-233.583	-75.577	21.6285
87000	-306.662	-232.58	-74.0821	23.2313
88000	-304.355	-236.944	-67.4114	36.7518
89000	-308.804	-240.099	-68.7052	35.7145
90000	-302.807	-233.585	-69.2222	26.6908
91000	-303.253	-235.593	-67.6599	29.7501
92000	-308.487	-232.501	-75.986	24.0451
93000	-313.705	-245.595	-68.1103	35.5918
94000	-314.235	-232.103	-82.1327	15.7521
95000	-313.793	-231.612	-82.1808	18.0335
96000	-314.697	-242.875	-71.8214	30.4717
97000	-314.82	-243.046	-71.7736	30.8932
98000	-302.822	-228.794	-74.0277	22.1303
99000	-314.108	-243.06	-71.0483	29.6024
100000	-317.468	-237.72	-79.7476	22.3602
101000	-312.539	-240.87	-71.669	24.5304
102000	-310.552	-231.458	-79.0941	18.717
103000	-306.04	-228.364	-77.6752	18.9769
104000	-308.192	-229.358	-78.8339	20.7647
105000	-299.093	-231.408	-67.6847	26.8982
106000	-310.355	-232.127	-78.2279	19.2879
107000	-306.149	-231.958	-74.1911	23.4485
108000	-316.955	-244.979	-71.9769	27.3109
109000	-308.336	-234.316	-74.0202	23.5166
110000	-305.979	-229.868	-76.1107	18.2666
111000	-310.367	-238.854	-71.513	26.7738
112000	-307.931	-233.32	-74.6114	22.5535
113000	-311.931	-234.461	-77.4693	21.3084
114000	-309.427	-231.825	-77.602	23.8142
115000	-313.096	-233.636	-79.4608	18.2413
116000	-317.884	-234.144	-83.74	19.755
117000	-307.643	-241.804	-65.8397	37.2909
118000	-307.252	-233.099	-74.1535	24.9365
119000	-308.627	-234.014	-74.613	23.0275
120000	-310.917	-231.058	-79.8584	20.0676
121000	-316.044	-245.774	-70.27	33.4876
122000	-315.119	-241.748	-73.3712	26.0005
123000	-313.533	-230.945	-82.5881	18.9148
124000	-300.393	-234.549	-65.8439	34.6783
125000	-318.114	-240.332	-77.7815	25.876
126000	-306.62	-229.05	-77.5698	21.221
127000	-309.618	-237.092	-72.5262	29.8689
128000	-305.812	-233.299	-72.5125	26.9957
129000	-311.878	-232.957	-78.9211	21.6881
130000	-310.834	-232.954	-77.8793	21.7437
131000	-306.319	-234.807	-71.5121	29.1888
132000	-307.603	-234.576	-73.0271	24.0875
133000	-312.633	-236.665	-75.9675	22.0621
134000	-302.613	-234.19	-68.4232	35.5783
135000	-316.031	-243.022	-73.0091	35.5335
136000	-306.048	-237.816	-68.2316	29.5718
137000	-314.367	-239.611	-74.7556	26.8937
138000	-305.753	-227.003	-78.7498	21.1058
139000	-302.844	-235.079	-67.7647	31.0539
140000	-306.918	-232.103	-74.815	23.7307
141000	-311.011	-237.38	-73.6309	25.495
142000	-302.511	-233.874	-68.6363	28.5909
143000	-311.647	-245.344	-66.3025	42.6318
144000	-319.68	-246.036	-73.6448	30.9533
145000	-305.17	-227.352	-77.8175	19.5728
146000	-307.371	-241.149	-66.2227	38.5225
147000	-306.287	-232.181	-74.1066	23.7224
148000	-302.553	-226.347	-76.2061	19.1883
149000	-309.199	-237.658	-71.5411	27.454
150000	-304.12	-230.385	-73.7347	23.7168
151000	-316.716	-243.906	-72.8098	31.8951
152000	-314.997	-231.46	-83.5362	21.04
153000	-320.42	-234.005	-86.4146	17.8837
154000	-310.812	-234.508	-76.3044	22.3356
155000	-302.937	-234.866	-68.071	34.3485
156000	-309.492	-234.307	-75.1849	21.8169
157000	-306.926	-234.509	-72.4167	24.2762
158000	-312.51	-234.096	-78.4143	21.5284
159000	-310.037	-232.441	-77.5966	18.3705
160000	-317.393	-238.65	-78.7439	23.5872
161000	-304.924	-236.172	-68.7522	29.8637
162000	-318.045	-234.328	-83.7168	17.5215
163000	-313.946	-239.241	-74.7053	32.2966
164000	-300.471	-232.097	-68.3741	30.2665
165000	-305.508	-231.387	-74.1212	24.5762
166000	-314.48	-240.02	-74.4591	23.4614
167000	-309.603	-237.998	-71.6054	25.5609
168000	-311.547	-235.015	-76.5316	21.0745
169000	-312.235	-233.162	-79.0725	20.6539
170000	-305.6	-228.175	-77.4247	19.8867
171000	-301.816	-229.531	-72.2858	21.9709
172000	-297.454	-229.417	-68.0367	31.0047
173000	-302.916	-230.639	-72.277	23.4878
174000	-305.171	-237.214	-67.9572	34.3917
175000	-317.797	-237.269	-80.5281	20.8676
176000	-300.716	-234.051	-66.6657	32.4017
177000	-315.361	-235.373	-79.9879	19.625
178000	-306.109	-231.373	-74.7352	22.9026
179000	-306.634	-229.596	-77.0376	23.286
180000	-310.986	-231.02	-79.966	21.8465
181000	-306.818	-230.552	-76.2658	19.3488
182000	-310.072	-227.713	-82.3587	18.2656
