Iteration	Posterior	Likelihood	Prior	sigma
0	-491.999	-257.567	-234.432	48.8863
1000	-488.509	-251.332	-237.177	44.5957
2000	-487.944	-252.996	-234.948	49.1689
3000	-496.846	-261.156	-235.69	53.611
4000	-482.388	-249.819	-232.568	51.96
5000	-491.309	-256.807	-234.503	56.9032
6000	-485.738	-257.249	-228.489	68.968
7000	-483.932	-254.056	-229.877	65.5792
8000	-489.611	-256.506	-233.104	58.1359
9000	-488.479	-254.432	-234.047	50.2197
10000	-484.742	-250.381	-234.361	47.6392
11000	-486.211	-257.614	-228.596	67.0915
12000	-490.419	-260.252	-230.166	68.5795
13000	-484.001	-254.027	-229.974	50.9772
14000	-498.466	-249.221	-249.245	27.8134
15000	-481.178	-248.166	-233.013	47.0992
16000	-486.324	-251.434	-234.89	48.0503
17000	-491.283	-253.035	-238.249	45.9461
18000	-482.074	-247.979	-234.095	47.5101
19000	-490.609	-257.319	-233.29	58.131
20000	-488.238	-257.619	-230.619	51.5906
21000	-493.235	-247.757	-245.478	33.9213
22000	-495.955	-262.775	-233.18	49.5167
23000	-488.886	-252.995	-235.892	51.02
24000	-486.408	-253.299	-233.109	50.2253
25000	-491.78	-251.442	-240.338	38.9356
26000	-496.782	-256.118	-240.664	40.4529
27000	-492.819	-256.717	-236.102	46.6572
28000	-491.531	-256.458	-235.073	43.7655
29000	-487.917	-252.233	-235.684	49.8129
30000	-493.077	-251.904	-241.173	33.4932
31000	-495.339	-261.797	-233.542	58.0121
32000	-484.978	-253.413	-231.564	56.1499
33000	-493.824	-257.142	-236.682	43.5222
34000	-483.203	-246.824	-236.379	38.437
35000	-492.973	-261.642	-231.331	72.9187
36000	-492.976	-261.721	-231.256	61.0156
37000	-488.484	-254.284	-234.2	48.6352
38000	-484.924	-251.512	-233.412	53.4094
39000	-493.847	-257.927	-235.92	51.6159
40000	-494.071	-261.965	-232.106	61.7033
41000	-491.44	-256.494	-234.946	54.7326
42000	-486.272	-249.376	-236.896	39.5493
43000	-484.769	-249.646	-235.123	48.5022
44000	-484.449	-250.674	-233.776	48.6926
45000	-488.591	-252.788	-235.803	42.7538
46000	-497.077	-255.844	-241.233	44.5511
47000	-491.903	-255.689	-236.215	47.7672
48000	-486.043	-249.139	-236.903	42.2498
49000	-493.116	-260.66	-232.456	56.6654
50000	-480.518	-247.775	-232.743	41.9275
51000	-487.94	-251.448	-236.492	41.5977
52000	-492.348	-247.953	-244.395	35.5783
53000	-492.845	-257.158	-235.687	53.6471
54000	-487.403	-251.677	-235.726	38.8116
