Iteration	Posterior	Likelihood	Prior	sigma
0	-310.812	-216.052	-94.7603	14.3628
1000	-297.7	-217.462	-80.2381	24.0993
2000	-302.002	-219.189	-82.8126	23.6159
3000	-309.429	-224.818	-84.6109	28.7665
4000	-301.437	-221.321	-80.116	20.376
5000	-301.332	-220.237	-81.0955	19.6354
6000	-297.789	-221.418	-76.3714	26.4282
7000	-293.419	-217.272	-76.147	28.2591
8000	-301.122	-213.265	-87.8575	18.6087
9000	-301.139	-215.235	-85.9039	18.6218
10000	-298.991	-216.425	-82.566	22.4586
11000	-298.546	-216.781	-81.7653	21.908
12000	-304.989	-223.752	-81.2369	25.3473
13000	-296.618	-217.156	-79.4613	24.6424
14000	-312.186	-228.639	-83.5473	24.4384
15000	-293.101	-218.797	-74.3035	28.458
16000	-296.15	-217.273	-78.8765	26.1344
17000	-293.891	-216.941	-76.9497	25.6467
18000	-298.16	-222.722	-75.4375	29.3365
19000	-299.399	-220.362	-79.0373	27.5243
20000	-305.267	-216.737	-88.5295	15.5769
21000	-304.68	-218.37	-86.3092	19.1536
22000	-297.721	-217.681	-80.0406	23.3073
23000	-297.545	-219.664	-77.8805	24.9837
24000	-305.928	-219.358	-86.5698	19.3341
25000	-299.676	-216.858	-82.8178	23.225
26000	-294.958	-220.062	-74.8958	27.7845
27000	-300.028	-220.258	-79.7701	31.1163
28000	-296.706	-218.936	-77.77	30.4464
29000	-302.65	-219.76	-82.8894	23.7329
30000	-298.602	-213.989	-84.6134	21.2353
31000	-298.422	-218.617	-79.8053	26.4644
32000	-299.293	-218.307	-80.9858	24.6669
33000	-291.42	-214.346	-77.074	27.8637
34000	-298.428	-217.02	-81.4075	21.1793
35000	-296.41	-218.8	-77.6101	26.1735
36000	-299.396	-217.438	-81.9581	20.666
37000	-291.759	-214.658	-77.1017	24.0943
38000	-294.113	-214.327	-79.7862	23.2586
39000	-303.471	-218.806	-84.6646	20.1771
40000	-303.538	-222.477	-81.0611	23.4534
41000	-298.241	-214.838	-83.4031	20.9888
42000	-297.181	-221.706	-75.4747	28.8246
43000	-304.478	-223.481	-80.9972	23.808
44000	-295.946	-217.051	-78.8951	22.0996
45000	-301.829	-219.946	-81.8831	20.6322
46000	-300.521	-226.943	-73.5786	46.2619
47000	-308.817	-226.524	-82.2929	24.0671
48000	-297.05	-213.564	-83.4861	18.3299
49000	-299.388	-216.669	-82.7189	23.9573
50000	-301.762	-220.53	-81.2321	20.537
51000	-312.052	-224.985	-87.0669	23.1048
52000	-300.906	-220.541	-80.3647	23.3801
53000	-295.791	-219.382	-76.4096	29.0347
54000	-305.721	-226.262	-79.4596	24.6912
55000	-298.962	-218.001	-80.9617	22.6128
56000	-300.016	-221.545	-78.4713	22.8942
57000	-294.832	-218.82	-76.0127	26.8506
58000	-302.167	-220.182	-81.9852	22.5613
59000	-300.37	-216.777	-83.593	20.2305
60000	-304.731	-223.342	-81.3888	25.6864
61000	-303.436	-214.538	-88.8981	15.4982
62000	-301.855	-218.515	-83.34	19.6584
63000	-303.836	-224.817	-79.0191	24.9335
64000	-300.879	-223.69	-77.1894	24.6067
65000	-296.148	-214.183	-81.9652	18.08
66000	-305.553	-220.143	-85.4099	19.1722
67000	-294.527	-218.992	-75.5341	26.8257
68000	-296.161	-223.854	-72.3069	32.1379
69000	-302.291	-217.323	-84.9672	20.5419
70000	-299.269	-223.041	-76.2276	32.7142
71000	-313.843	-225.32	-88.5233	14.4465
72000	-304.02	-221.743	-82.2776	23.1766
73000	-296.356	-213.466	-82.8907	23.9586
74000	-299.635	-219.954	-79.6807	25.0825
75000	-303.012	-220.783	-82.2289	18.1766
76000	-298.791	-218.159	-80.632	25.8339
77000	-310.18	-217.78	-92.4006	15.2384
78000	-303.555	-226.812	-76.7433	27.2607
79000	-306.342	-223.619	-82.7221	22.4885
80000	-298.799	-215.366	-83.4336	20.6245
81000	-300.02	-221.567	-78.4529	30.5615
82000	-296.411	-220.087	-76.3243	25.8475
83000	-297.885	-218.114	-79.7713	24.2642
84000	-299.138	-217.114	-82.0237	19.0873
85000	-293.956	-216.991	-76.9649	23.2274
86000	-296.003	-214.282	-81.7209	23.255
87000	-298.512	-216.016	-82.4961	21.1303
88000	-298.199	-217.754	-80.4448	23.4499
89000	-296.65	-218.711	-77.9389	31.5461
90000	-300.415	-218.858	-81.5567	23.2625
91000	-303.752	-221.264	-82.4885	19.6222
92000	-300.58	-217.649	-82.9303	20.9675
93000	-307.991	-220.251	-87.7402	18.5517
