Iteration	Posterior	Likelihood	Prior	sigma
0	-273.754	-222.582	-51.1719	17.2885
1000	-275.187	-221.575	-53.6125	14.9076
2000	-276.562	-231.574	-44.9878	19.8816
3000	-271.493	-228.579	-42.9135	19.6192
4000	-271.782	-227.505	-44.2778	23.2722
5000	-274.678	-222.861	-51.817	13.2659
6000	-271.535	-219.615	-51.9203	13.2895
7000	-275.974	-222.683	-53.2909	14.3368
8000	-273.856	-230.981	-42.8752	19.6303
9000	-273.71	-232.481	-41.2292	23.8631
10000	-269.699	-224.585	-45.1142	19.4381
11000	-265.688	-220.728	-44.9607	18.1047
12000	-272.1	-228.63	-43.4697	21.2885
13000	-271.53	-231.107	-40.4228	26.8249
14000	-270.499	-221.908	-48.591	17.6234
15000	-275.457	-226.077	-49.3801	15.2831
16000	-270.102	-225.785	-44.3167	19.1607
17000	-277.52	-235.997	-41.5235	26.0536
18000	-279.707	-226.406	-53.3003	14.5484
19000	-276.889	-230.477	-46.4117	20.924
20000	-268.519	-226.402	-42.1167	23.0639
21000	-274.569	-224.485	-50.084	13.4427
22000	-273.531	-215.304	-58.2272	11.2712
23000	-275.006	-225.549	-49.4568	17.4409
24000	-288.347	-233.435	-54.912	15.3554
25000	-281.312	-226.925	-54.3873	15.2291
26000	-277.062	-226.479	-50.5826	18.0247
27000	-281.606	-228.669	-52.9364	16.0026
28000	-267.826	-220.184	-47.6419	16.074
29000	-277.295	-224.052	-53.2434	14.8023
30000	-278.292	-226.934	-51.358	16.718
31000	-273.28	-226.409	-46.8709	17.7293
32000	-272.552	-227.74	-44.8119	20.3356
33000	-280.649	-235.202	-45.4469	19.0508
34000	-274.653	-228.183	-46.47	15.9982
35000	-270.297	-219.488	-50.8091	14.4088
36000	-272.848	-222.549	-50.2983	13.0301
37000	-271.191	-225.086	-46.105	19.1221
38000	-275.314	-226.948	-48.3661	15.5612
39000	-273.89	-225.382	-48.5077	15.9991
40000	-271.142	-223.048	-48.0934	16.0346
41000	-275.602	-228.357	-47.2447	16.1326
42000	-280.457	-232.402	-48.0545	18.29
43000	-277.335	-225.902	-51.4331	14.3473
44000	-274.153	-227.656	-46.4977	17.4185
45000	-267.53	-226.18	-41.3504	24.9939
46000	-271.806	-229.594	-42.2117	23.1975
47000	-279.008	-223.883	-55.1253	13.9116
48000	-277.568	-233.627	-43.9402	22.1986
49000	-273.336	-228.222	-45.1148	22.5826
50000	-275.849	-231.439	-44.4097	24.6123
51000	-271.85	-224.879	-46.9705	15.4329
52000	-284.004	-239.387	-44.6174	24.5939
53000	-275.666	-226.981	-48.6849	16.1919
54000	-274.509	-229.31	-45.199	18.8755
55000	-281.489	-235.566	-45.9224	16.2506
56000	-269.805	-230.625	-39.1795	27.0481
57000	-271.531	-226.875	-44.6563	20.3334
58000	-272.705	-226.058	-46.6474	16.2604
59000	-264.69	-221.916	-42.7741	20.5745
60000	-270.906	-221.227	-49.6795	15.1156
61000	-272.286	-226.298	-45.9882	19.3168
62000	-269.787	-219.664	-50.1231	14.2143
63000	-273.292	-223.567	-49.725	16.0544
64000	-274.779	-223.114	-51.6649	15.0139
65000	-273.766	-226.86	-46.9061	15.7649
66000	-271.037	-221.401	-49.6361	12.7075
67000	-273.675	-217.765	-55.9101	11.1297
68000	-270.657	-231.305	-39.3519	20.6
69000	-279.86	-231.578	-48.2814	22.2372
70000	-270.903	-228.92	-41.9831	22.1111
71000	-278.582	-225.517	-53.065	13.5301
72000	-278.057	-214.796	-63.261	10.4235
73000	-278.371	-227.886	-50.4851	15.9639
74000	-271.215	-225.393	-45.8221	18.7788
75000	-271.787	-227.279	-44.5087	22.4284
76000	-273.679	-226.129	-47.5497	17.5483
77000	-271.825	-227.352	-44.4734	21.4849
78000	-283.493	-239.994	-43.4988	19.6588
79000	-272.276	-219.965	-52.3103	11.9247
80000	-276.598	-226.542	-50.0557	14.9009
81000	-278.089	-222.341	-55.7471	14.5787
82000	-274.711	-223.991	-50.72	16.1555
83000	-272.019	-226.503	-45.5157	20.1454
84000	-273.29	-222.628	-50.6615	12.3293
85000	-269.252	-223.155	-46.0963	17.0125
86000	-275.95	-227.202	-48.7485	18.2898
87000	-274.739	-224.699	-50.0403	17.3485
88000	-267.752	-224.136	-43.6157	19.8784
89000	-273.431	-224.651	-48.7797	16.9486
90000	-280.129	-231.414	-48.7148	14.7215
91000	-275.633	-228.609	-47.0234	13.7044
92000	-267.947	-225.404	-42.5431	21.3059
93000	-267.213	-221.189	-46.0241	15.8652
94000	-270.278	-227.051	-43.2271	21.8146
95000	-273.138	-228.199	-44.9391	21.4682
96000	-277.221	-228.981	-48.24	18.6994
97000	-269.942	-221.892	-48.0497	16.567
98000	-271.796	-233.341	-38.4547	29.7604
99000	-272.018	-225.965	-46.0526	16.9401
100000	-275.902	-224.955	-50.9467	14.909
101000	-271.798	-225.218	-46.5799	16.278
102000	-275.068	-228.597	-46.4712	20.1869
103000	-274.124	-228.97	-45.1542	20.8591
104000	-274.879	-224.837	-50.0424	15.7812
105000	-267.871	-222.633	-45.2379	17.1013
106000	-276.399	-227.975	-48.4237	16.7737
107000	-270.539	-226.088	-44.451	22.0702
108000	-281.995	-233.727	-48.268	22.3359
109000	-283.811	-237.909	-45.9029	24.7614
110000	-274.151	-226.549	-47.6018	14.5369
111000	-269.055	-226.595	-42.4606	18.4947
112000	-276.367	-224.88	-51.4869	15.8894
113000	-266.886	-228.387	-38.4991	30.1904
114000	-276.496	-228.491	-48.0056	22.2221
115000	-276.209	-228.682	-47.5267	18.8918
116000	-273.294	-226.882	-46.4119	18.1986
117000	-273.517	-224.509	-49.008	17.5636
118000	-268.604	-223.103	-45.5007	17.6888
119000	-277.348	-223.739	-53.6093	12.5815
120000	-276.829	-225.183	-51.6463	15.8993
121000	-280.483	-228.757	-51.7254	17.4486
122000	-270.041	-224.895	-45.1459	19.7779
123000	-274.414	-221.503	-52.9107	11.7819
124000	-276.916	-219.489	-57.4277	11.1703
125000	-273.378	-227.127	-46.2512	17.0085
126000	-281.065	-231.114	-49.9508	17.2025
127000	-269.605	-226.656	-42.9483	21.7521
128000	-273.333	-229.05	-44.283	20.0584
129000	-268.178	-223.854	-44.3238	16.4853
130000	-277.414	-229.819	-47.5957	18.0462
131000	-280.296	-237.883	-42.4135	29.8114
132000	-275.16	-229.823	-45.3373	22.7549
133000	-270.724	-222.523	-48.2007	16.5171
134000	-274.115	-230.01	-44.1051	20.5945
135000	-267.684	-223.949	-43.7352	21.3783
136000	-273.919	-225.782	-48.1368	15.9318
137000	-266.073	-224.682	-41.3905	22.3645
138000	-274.782	-219.98	-54.8012	11.1791
139000	-275.802	-225.674	-50.1273	16.2703
140000	-268.092	-220.287	-47.805	15.9284
141000	-271.472	-224.163	-47.3099	18.7145
142000	-270.481	-224.056	-46.4251	19.5508
143000	-281.672	-229.797	-51.8745	16.4683
144000	-274.526	-231.413	-43.113	25.4872
145000	-276.644	-234.016	-42.6272	26.4449
146000	-270.057	-223.896	-46.161	16.5003
147000	-275.74	-221.368	-54.3721	12.2674
148000	-282.909	-229.307	-53.6022	14.5584
149000	-277.862	-228.815	-49.0472	15.8146
150000	-280.973	-228.932	-52.0404	13.9817
151000	-283.386	-226.278	-57.1078	13.979
152000	-269.885	-220.983	-48.9013	15.8154
153000	-280.723	-229.484	-51.239	16.7421
154000	-275.846	-227.199	-48.6471	15.1987
155000	-274.598	-226.262	-48.3351	17.7338
156000	-272.091	-227.853	-44.2388	21.9462
157000	-272.304	-228.308	-43.9961	21.3861
158000	-271.694	-218.679	-53.0149	14.2413
159000	-271.882	-228.017	-43.8651	20.8895
160000	-281.636	-228.61	-53.0256	12.4792
161000	-286.598	-227.198	-59.4004	12.3362
162000	-276.453	-226.12	-50.3327	16.1888
163000	-264.586	-221.47	-43.1161	19.3491
164000	-268.583	-224.781	-43.8019	19.6996
165000	-282.352	-223.926	-58.4254	11.9575
166000	-275.389	-227.138	-48.2508	18.1714
167000	-277.67	-231.173	-46.4977	18.8168
168000	-275.589	-221.539	-54.0498	12.7924
169000	-269.224	-226.555	-42.6696	20.715
170000	-272.089	-220.405	-51.6836	14.1754
171000	-271.872	-218.783	-53.0888	13.2907
172000	-276.104	-229.349	-46.7549	15.4966
173000	-272.27	-220.218	-52.0516	12.5159
174000	-283.156	-231.326	-51.83	15.096
175000	-265.582	-219.579	-46.0035	17.4163
176000	-276.994	-227.439	-49.5546	15.5576
177000	-273.406	-222.949	-50.4574	14.0036
178000	-280.916	-225.508	-55.4086	14.0005
179000	-273.865	-233.692	-40.1731	26.5199
180000	-274.787	-226.736	-48.0511	18.5151
181000	-274.751	-225.481	-49.2707	20.85
182000	-275.928	-228.132	-47.7957	18.6963
183000	-272.81	-221.535	-51.2746	12.7322
184000	-271.647	-226.335	-45.3119	18.5007
