Iteration	Posterior	Likelihood	Prior	sigma
0	-379.56	-194.321	-185.238	30.0556
1000	-377.826	-194.568	-183.258	30.1105
2000	-381.603	-194.316	-187.287	27.5512
3000	-382.928	-187.196	-195.731	17.0619
4000	-381.089	-189.988	-191.101	21.1721
5000	-386.856	-199.132	-187.724	28.1056
6000	-375.569	-187.993	-187.576	25.1519
7000	-376.036	-186.905	-189.131	22.1595
8000	-373.421	-193.916	-179.505	46.2045
9000	-369.564	-187.794	-181.769	31.2101
10000	-380.686	-191.586	-189.1	24.8697
11000	-373.909	-192.947	-180.962	30.6786
12000	-380.469	-193.645	-186.823	21.9744
13000	-387.47	-192.547	-194.923	19.2633
14000	-384.451	-197.169	-187.282	20.4244
15000	-377.614	-193.394	-184.221	27.5697
16000	-382.828	-190.012	-192.815	20.372
17000	-379.543	-195.713	-183.83	36.6997
18000	-377.53	-188.875	-188.654	24.6124
19000	-390.324	-204.176	-186.148	30.931
20000	-378.852	-196.342	-182.509	33.8962
21000	-382.311	-196.119	-186.192	32.755
22000	-378.076	-191.366	-186.71	26.0211
23000	-377.765	-190.751	-187.014	25.5749
24000	-374.026	-188.02	-186.006	26.1088
25000	-381.994	-192.4	-189.594	27.6599
26000	-379.191	-191.924	-187.267	28.4599
27000	-384.833	-194.537	-190.296	22.0761
28000	-376.996	-193.394	-183.603	30.1399
29000	-383.041	-192.377	-190.664	18.6723
30000	-381.895	-193.133	-188.761	25.9207
31000	-384.248	-198.917	-185.332	27.0935
32000	-384.041	-201.239	-182.801	34.6044
33000	-377.058	-187.54	-189.518	23.2869
34000	-378.318	-193.713	-184.605	26.5835
35000	-374.143	-193.21	-180.933	35.7879
36000	-388.155	-202.792	-185.363	26.3895
37000	-378.735	-191.908	-186.827	28.6755
38000	-379.811	-194.465	-185.347	26.4348
39000	-379.524	-193.449	-186.075	27.8331
40000	-384.46	-193.678	-190.782	21.1058
41000	-385.104	-200.076	-185.028	28.7235
42000	-378.272	-191.212	-187.06	25.3322
43000	-382.574	-193.982	-188.592	20.2477
44000	-378.608	-196.29	-182.318	28.2798
45000	-378.073	-189.132	-188.941	26.97
46000	-386.383	-203.743	-182.64	41.3179
47000	-386.311	-189.099	-197.211	19.2349
48000	-372.714	-192.086	-180.628	36.4302
49000	-382.082	-195.557	-186.525	26.5571
50000	-380.963	-196.818	-184.144	28.6361
