Iteration	Posterior	Likelihood	Prior	sigma
0	-367.544	-188.504	-179.04	34.6846
1000	-371.852	-186.328	-185.524	22.0775
2000	-373.758	-188.71	-185.048	25.678
3000	-378.035	-189.911	-188.123	19.6267
4000	-377.153	-189.256	-187.898	25.9561
5000	-376.63	-194.304	-182.326	29.0725
6000	-377.84	-193.101	-184.74	27.2543
7000	-378.823	-189.731	-189.092	26.5207
8000	-373.321	-189.332	-183.989	25.3251
9000	-381.932	-198.281	-183.651	36.2367
10000	-374.076	-189.632	-184.444	24.4477
11000	-376.467	-188.533	-187.935	20.0897
12000	-375.168	-194.772	-180.396	29.6832
13000	-373.047	-194.011	-179.036	44.6295
14000	-372.425	-184.757	-187.668	21.062
15000	-382.694	-190.075	-192.619	18.9553
16000	-377.201	-195.138	-182.062	32.7573
17000	-373.299	-189.306	-183.993	26.3328
18000	-386.614	-195.079	-191.534	23.2047
19000	-373.838	-189.825	-184.014	28.5361
20000	-376.034	-187.449	-188.585	22.09
21000	-376.238	-191.111	-185.127	25.3699
22000	-371.672	-187.28	-184.391	25.8956
23000	-375.51	-194.122	-181.388	36.6028
24000	-380.019	-182.949	-197.07	15.4168
25000	-377.799	-193.04	-184.758	29.3111
26000	-370.516	-185.766	-184.75	23.239
27000	-370.547	-188.955	-181.592	26.4229
28000	-380.496	-186.769	-193.727	18.1108
29000	-373.211	-191.339	-181.872	31.1456
30000	-381.475	-194.43	-187.045	25.8967
31000	-380.497	-196.16	-184.336	29.2516
32000	-376.607	-192.491	-184.116	26.2408
33000	-374.809	-186.805	-188.004	21.6927
34000	-382.007	-192.503	-189.504	21.8371
35000	-383.237	-196.461	-186.776	27.4873
36000	-374.761	-189.934	-184.827	23.8478
37000	-383.138	-197.935	-185.203	27.3143
38000	-387.827	-194.921	-192.906	17.4224
39000	-374.694	-188.367	-186.327	29.1068
40000	-373.209	-190.977	-182.232	26.6003
41000	-379.407	-192.177	-187.23	25.0471
42000	-380.171	-189.737	-190.434	19.3265
43000	-375.623	-191.463	-184.16	22.7905
44000	-382.4	-194.153	-188.247	22.6989
45000	-374.71	-187.3	-187.41	20.053
