Iteration	Posterior	Likelihood	Prior	sigma
0	-245.561	-184.261	-61.2997	8.91069
1000	-250.875	-185.712	-65.1635	8.8865
2000	-237.776	-182.155	-55.6203	11.206
3000	-247.266	-186.842	-60.4239	10.9297
4000	-239.686	-182.364	-57.3215	10.9117
5000	-240.193	-185.848	-54.3445	12.0654
6000	-238.713	-184.335	-54.3778	12.3536
7000	-239.07	-185.51	-53.559	13.1936
8000	-240.831	-186.753	-54.0783	11.9933
9000	-248.561	-192.944	-55.617	13.9412
10000	-245.45	-182.661	-62.7895	9.66748
11000	-245.467	-193.181	-52.2857	15.6012
12000	-244.106	-191.29	-52.8156	13.8321
13000	-240.052	-187.139	-52.9126	13.9695
14000	-242.638	-183.621	-59.0163	10.23
15000	-240.246	-186.54	-53.7062	12.2484
16000	-242.682	-186.252	-56.4297	10.971
17000	-241.061	-184.439	-56.6216	12.1087
18000	-245.814	-194.17	-51.6437	13.6228
19000	-248.436	-185.656	-62.7803	8.49475
20000	-251.729	-195.306	-56.4238	13.6547
21000	-245.412	-191.349	-54.0631	14.3734
22000	-245.423	-191.706	-53.7166	14.7406
23000	-242.304	-188.751	-53.5525	11.6473
24000	-244.396	-187.62	-56.7764	12.7313
25000	-248.592	-192.648	-55.9441	13.0986
26000	-240.591	-190.008	-50.583	15.4368
27000	-237.847	-187.553	-50.2944	12.803
28000	-242.243	-192.001	-50.2426	15.442
29000	-248.064	-193.104	-54.9598	15.8644
30000	-246.883	-183.898	-62.9851	10.0338
31000	-238.284	-188.073	-50.2107	13.1637
32000	-239.479	-189.452	-50.0273	16.9372
33000	-248.738	-193.915	-54.8226	14.0864
34000	-246.014	-186.378	-59.6364	9.38242
35000	-233.36	-181.749	-51.6119	14.1085
36000	-239.564	-184.548	-55.016	12.411
37000	-246.676	-187.647	-59.0287	10.8699
38000	-245.034	-191.942	-53.0922	14.2395
39000	-247.497	-190.258	-57.2399	12.3673
40000	-241.246	-186.18	-55.0661	12.1323
41000	-242.388	-188.306	-54.0824	13.4187
42000	-243.956	-185.237	-58.7183	11.3068
43000	-240.563	-187.771	-52.7923	12.5512
44000	-237.622	-187.982	-49.6399	15.5237
45000	-248.681	-197.313	-51.368	17.8886
46000	-243.497	-186.996	-56.5011	13.0932
47000	-242.101	-187.622	-54.4794	12.349
48000	-249.588	-190.396	-59.1919	11.5395
49000	-247.788	-185.831	-61.9571	10.4316
50000	-238.44	-184.692	-53.7481	11.3116
51000	-239.914	-187.942	-51.9717	11.9244
52000	-248.154	-187.717	-60.4373	10.5242
53000	-247.576	-193.131	-54.4447	15.132
54000	-242.472	-187.668	-54.8038	13.8188
55000	-243.668	-183.989	-59.6788	10.5143
56000	-237.636	-183.844	-53.7915	13.3115
57000	-248.077	-187.748	-60.3292	10.3948
58000	-234.44	-184.894	-49.5463	15.0582
59000	-241.716	-191.903	-49.813	18.4265
60000	-244.407	-189.998	-54.409	11.9937
61000	-248.499	-191.655	-56.8439	13.3903
62000	-239.085	-192.489	-46.5962	24.7188
63000	-241.419	-181.483	-59.9364	9.08568
64000	-246.713	-189.984	-56.7292	11.8556
65000	-246.029	-192.557	-53.4722	14.5679
66000	-249.106	-198.782	-50.324	18.2209
67000	-249.818	-188.861	-60.9573	10.6346
68000	-241.401	-187.357	-54.0444	11.8157
69000	-244.753	-187.448	-57.305	9.36949
70000	-242.807	-181.761	-61.0453	10.0531
71000	-240.144	-188.823	-51.3209	13.2805
72000	-242.078	-186.351	-55.7271	11.1808
73000	-240.394	-186.677	-53.7171	13.45
74000	-248.681	-194.525	-54.1561	14.2612
75000	-238.443	-183.088	-55.3549	11.9759
76000	-234.524	-185.038	-49.4861	15.3006
77000	-239.515	-187.873	-51.642	14.4173
78000	-238.38	-185.619	-52.761	11.7822
79000	-243.81	-196.02	-47.7907	20.1115
80000	-242.892	-185.614	-57.2782	11.4954
81000	-236.575	-188.466	-48.1094	15.7508
82000	-248.791	-188.52	-60.2712	12.6479
83000	-247.766	-196.27	-51.4964	19.9042
84000	-248.616	-185.998	-62.6184	11.5989
85000	-246.635	-196.016	-50.6186	20.8426
86000	-247.096	-186.469	-60.6269	10.7439
87000	-238.441	-185.431	-53.0099	10.8059
88000	-235.489	-184.076	-51.4125	12.8759
89000	-246.413	-189.312	-57.1014	11.6062
90000	-255.113	-188.631	-66.4825	10.4046
91000	-241.552	-186.778	-54.775	11.7331
92000	-243.703	-188.307	-55.3967	11.687
93000	-239.888	-180.445	-59.4431	9.50531
94000	-247.134	-195.16	-51.9735	15.899
95000	-241.81	-186.094	-55.7161	13.0671
96000	-251.732	-190.644	-61.0884	10.199
97000	-248.375	-191.868	-56.5068	12.6095
98000	-249.741	-191.209	-58.5323	12.2113
99000	-240.719	-193.925	-46.7942	21.6423
100000	-238.419	-180.957	-57.4615	9.7689
101000	-246.769	-189.859	-56.9098	12.5729
102000	-237.401	-185.663	-51.7379	13.9774
103000	-239.128	-184.994	-54.1341	12.1031
104000	-252.502	-187.814	-64.6878	11.7616
105000	-241.18	-188.87	-52.3102	14.8053
106000	-239.752	-188.458	-51.2933	14.1637
107000	-242.695	-188.058	-54.6369	13.1955
108000	-246.883	-193.859	-53.0241	14.0175
109000	-243.464	-186.854	-56.6102	8.83297
110000	-243.06	-187.54	-55.5197	12.1267
111000	-236.703	-183.463	-53.2405	10.8877
112000	-243.846	-185.616	-58.2298	10.6591
113000	-245.186	-193.86	-51.326	12.4997
114000	-237.898	-186.171	-51.7265	13.2887
115000	-238.441	-184.363	-54.078	12.3535
116000	-243.862	-184.557	-59.3052	9.81602
117000	-241.503	-187.164	-54.3383	13.4296
118000	-244.82	-189.87	-54.9504	13.0295
119000	-241.708	-190.977	-50.7305	14.1442
