Iteration	Posterior	Likelihood	Prior	sigma
0	-224.727	-181.614	-43.1134	12.8808
1000	-235.492	-189.922	-45.5703	12.1284
2000	-228.516	-188.051	-40.4649	14.0219
3000	-230.213	-188.218	-41.9957	15.1703
4000	-217.508	-179.202	-38.3066	15.9072
5000	-224.807	-184.117	-40.6899	14.3562
6000	-229.866	-177.459	-52.4062	7.08547
7000	-233.956	-182.458	-51.4975	8.15171
8000	-225.854	-180.832	-45.0225	13.0083
9000	-221.76	-180.621	-41.139	13.2093
10000	-224.477	-176.578	-47.8989	9.50621
11000	-230.517	-186.836	-43.6815	13.4137
12000	-226.979	-182.616	-44.3627	13.093
13000	-230.28	-189.427	-40.8537	15.6752
14000	-223.656	-181.473	-42.1825	12.7681
15000	-231.231	-186.535	-44.6961	14.2801
16000	-225.559	-182.318	-43.2416	14.324
17000	-229.172	-187.805	-41.3663	11.0339
18000	-225.181	-188.144	-37.0373	19.8687
19000	-223.398	-182.249	-41.149	13.4886
20000	-234.006	-188.269	-45.7372	13.5381
21000	-229.477	-186.202	-43.275	14.1609
22000	-234.549	-181.077	-53.4719	8.51088
23000	-245.314	-200.929	-44.3849	12.101
24000	-221.237	-180.718	-40.5188	14.8091
25000	-224.816	-179.309	-45.5072	11.3605
26000	-226.009	-187.525	-38.4837	17.8101
27000	-227.777	-184.428	-43.3486	13.6763
28000	-231.816	-187.19	-44.6262	11.9849
29000	-222.304	-182.423	-39.8814	13.915
30000	-226.733	-187.071	-39.6623	15.4414
31000	-224.18	-182.955	-41.2249	13.927
32000	-227.491	-179.697	-47.7944	9.77493
33000	-226.912	-180.713	-46.199	11.0562
34000	-224.333	-183.602	-40.7315	15.6346
35000	-233.955	-183.42	-50.5353	9.04823
36000	-224.56	-178.479	-46.0808	10.1983
37000	-226.65	-180.674	-45.9763	10.4898
38000	-242.05	-194.957	-47.093	11.6038
39000	-228.585	-187.103	-41.4817	16.483
40000	-224.818	-186.772	-38.0465	15.422
41000	-230.75	-181.741	-49.0087	8.91469
