Iteration	Posterior	Likelihood	Prior	sigma
0	-302.579	-219.274	-83.3053	20.3284
1000	-299.954	-218.859	-81.0943	19.0825
2000	-298.629	-211.276	-87.3529	18.3938
3000	-306.968	-220.982	-85.9862	17.8205
4000	-308.027	-225.101	-82.9253	23.472
5000	-298.802	-211.609	-87.1928	15.7315
6000	-301.266	-214.33	-86.9359	17.3568
7000	-297.73	-219.716	-78.0137	24.9909
8000	-298.372	-216.597	-81.7754	21.5118
9000	-295.615	-212.471	-83.1444	18.9513
10000	-304.651	-217.821	-86.83	19.0259
11000	-298.363	-212.55	-85.8127	17.4777
12000	-295.034	-215.7	-79.3343	20.662
13000	-299.397	-218.966	-80.4308	22.0659
14000	-306.227	-221.525	-84.7028	20.2899
15000	-298.741	-215.024	-83.7173	20.0878
16000	-295.197	-215.036	-80.1603	22.2864
17000	-297.515	-219.414	-78.1016	28.6549
18000	-305.366	-222.105	-83.2604	23.0212
19000	-297.898	-215.27	-82.6282	20.3454
20000	-301.206	-220.307	-80.8985	23.9384
21000	-304.162	-218.33	-85.8317	19.2032
22000	-297.795	-222.635	-75.1593	43.223
23000	-295.13	-210.615	-84.5148	17.0882
24000	-295.307	-209.138	-86.1693	14.9066
25000	-302.598	-218.735	-83.8633	20.6135
26000	-301.022	-216.176	-84.8463	19.6867
27000	-298.409	-213.935	-84.4734	19.9492
28000	-300.707	-217.765	-82.942	16.8576
29000	-298.995	-215.025	-83.9696	18.2174
30000	-296.77	-211.91	-84.86	20.5085
31000	-296.479	-215.26	-81.2197	22.1305
32000	-306.407	-220.6	-85.8069	20.9728
33000	-298.33	-214.703	-83.6265	18.2187
34000	-298.252	-220.501	-77.7512	28.0564
35000	-294.779	-212.71	-82.0693	18.9829
36000	-302.552	-224.37	-78.1822	22.6294
37000	-298.335	-213.749	-84.586	16.0944
38000	-303.766	-221.4	-82.3657	25.2396
39000	-297.837	-220.993	-76.8442	28.3891
40000	-300.164	-207.922	-92.2427	12.1313
41000	-297.452	-215.08	-82.3718	22.3041
42000	-302.061	-217.588	-84.4733	23.1669
43000	-306.847	-217.339	-89.5077	15.1135
44000	-298.47	-217.46	-81.01	21.0627
45000	-296.004	-224.084	-71.9199	38.3411
46000	-292.736	-213.578	-79.1583	21.966
47000	-302.785	-219.083	-83.7019	23.4746
48000	-306.047	-225.091	-80.9562	26.7027
49000	-295.178	-224.212	-70.9664	52.5564
50000	-297.521	-212.52	-85.0006	16.2507
51000	-305.118	-210.326	-94.7918	13.3649
52000	-300.82	-213.666	-87.1539	18.3375
53000	-304.2	-225.585	-78.6147	28.2942
54000	-290.498	-215.409	-75.0891	29.1067
55000	-291.127	-212.178	-78.9482	19.3567
56000	-292.918	-215.911	-77.0072	24.2363
57000	-298.742	-210.328	-88.4134	13.2019
58000	-295.156	-218.072	-77.0844	28.1777
59000	-318.215	-218.083	-100.132	14.7336
60000	-304.861	-231.551	-73.31	37.4946
61000	-309.932	-212.859	-97.073	13.2427
62000	-295.603	-213.478	-82.1251	19.6378
63000	-289.728	-214.587	-75.1406	23.6623
64000	-296.503	-213.956	-82.547	18.7994
65000	-309.208	-218.149	-91.0584	18.8048
66000	-302.668	-223.933	-78.7345	26.5875
67000	-298.174	-211.22	-86.9538	15.7009
68000	-303.409	-219.476	-83.9336	17.4994
69000	-302.16	-217.612	-84.5482	18.1252
70000	-296.295	-211.947	-84.348	15.3494
71000	-306.985	-221.27	-85.7157	16.8416
72000	-306.42	-211.284	-95.1355	13.4774
73000	-299.136	-213.158	-85.9782	17.02
74000	-295.526	-216.919	-78.6069	23.1395
75000	-307.969	-210.068	-97.901	12.4571
76000	-300.272	-215.075	-85.1964	16.8668
77000	-302.382	-212.593	-89.7893	15.3176
78000	-295.596	-218.222	-77.3734	25.8689
79000	-303.927	-220.182	-83.7453	21.3887
80000	-302.998	-207.876	-95.1222	12.2561
81000	-295.63	-213.132	-82.4978	17.0236
82000	-300.618	-221.497	-79.1209	21.9865
83000	-293.343	-210.156	-83.1869	18.2072
84000	-301.538	-220.422	-81.116	19.8887
85000	-299.272	-216.729	-82.5428	20.1347
86000	-294.982	-216.784	-78.1977	22.3418
87000	-295.232	-218.951	-76.2809	25.9861
88000	-302.894	-221.264	-81.63	22.6848
89000	-306.502	-222.173	-84.3288	22.333
90000	-301.808	-219.226	-82.5821	22.6197
91000	-293.956	-220.258	-73.6983	33.0883
92000	-308.963	-222.775	-86.1882	19.5719
93000	-298.128	-214.091	-84.0367	17.2908
94000	-304.426	-210.292	-94.1337	12.8521
95000	-298.243	-220.771	-77.4718	25.0785
96000	-296.56	-213.945	-82.6155	17.491
97000	-298.029	-217.685	-80.3437	22.994
98000	-298.077	-214.654	-83.4236	19.1476
