Iteration	Posterior	Likelihood	Prior	sigma
0	-268.549	-209.42	-59.129	12.5702
1000	-266.332	-215.701	-50.6314	25.1698
2000	-280.877	-214.205	-66.672	15.5919
3000	-263.358	-206.364	-56.9943	13.5421
4000	-268.324	-215.067	-53.257	19.9266
5000	-263.356	-207.663	-55.6932	15.8799
6000	-263.061	-210.721	-52.3398	20.0669
7000	-265.538	-209.628	-55.9104	17.2921
8000	-267.122	-210.875	-56.2474	18.0972
9000	-275.932	-224.057	-51.8754	20.9211
10000	-265.774	-209.646	-56.1281	16.6493
11000	-265	-211.699	-53.3013	18.0929
12000	-269.539	-209.434	-60.1049	14.6743
13000	-269.294	-211.624	-57.6707	15.7088
14000	-265.64	-213.073	-52.5668	20.6192
15000	-266.582	-210.936	-55.6452	17.2829
16000	-268.896	-215.484	-53.4127	20.3917
17000	-262.269	-209.788	-52.4813	22.0386
18000	-283.016	-217.158	-65.8586	11.4346
19000	-274.444	-214.902	-59.5417	15.8653
20000	-271.988	-216.257	-55.7319	18.9552
21000	-269.127	-212.641	-56.4855	19.1055
22000	-267.971	-207.245	-60.7266	12.731
23000	-268.101	-209.866	-58.235	17.1146
24000	-271.819	-221.052	-50.767	22.3597
25000	-264.871	-209.229	-55.6427	15.8393
26000	-270.517	-212.164	-58.3534	13.2965
27000	-267.417	-213.275	-54.1419	20.0012
28000	-273.36	-215.933	-57.4269	16.2109
29000	-276.736	-211.903	-64.8334	12.1168
30000	-264.066	-206.572	-57.494	16.3028
31000	-263.187	-207.502	-55.6857	14.6982
32000	-270.712	-215.759	-54.953	20.3921
33000	-264.865	-211.516	-53.349	18.3585
34000	-262.512	-213.663	-48.8486	26.2624
35000	-274.585	-220.995	-53.5895	20.182
36000	-266.895	-211.583	-55.3119	15.9207
37000	-269.475	-212.998	-56.4778	18.5346
38000	-265.584	-214.543	-51.0412	22.3067
39000	-277.099	-216.934	-60.1658	15.2625
40000	-261.535	-211.906	-49.6289	24.5498
41000	-262.918	-210.345	-52.5729	19.1482
42000	-263.988	-212.186	-51.8028	22.099
43000	-263.771	-210.362	-53.4088	17.5978
44000	-263.723	-210.616	-53.1065	19.1661
45000	-273.113	-220.694	-52.4191	23.7329
46000	-266.67	-213.999	-52.6711	22.2482
47000	-267.282	-215.344	-51.9379	22.3208
48000	-265.43	-208.822	-56.6081	16.8999
49000	-267.161	-211.04	-56.1211	17.4059
50000	-268.654	-212.673	-55.9801	19.0386
51000	-265.099	-212.625	-52.4741	21.92
52000	-271.956	-213.924	-58.0319	17.0451
53000	-266.615	-211.281	-55.3345	19.8561
54000	-269.267	-217.249	-52.0184	22.8554
55000	-265.048	-208.955	-56.0931	18.7224
56000	-266.686	-212.28	-54.4058	21.1588
57000	-269.032	-211.282	-57.7503	15.7216
58000	-266.785	-211.168	-55.6171	18.4104
59000	-271.83	-211.146	-60.6846	13.7895
60000	-260.621	-210.478	-50.1434	20.9136
61000	-267.533	-210.296	-57.2361	16.1402
62000	-265.308	-210.138	-55.1697	18.5971
63000	-272.617	-219.046	-53.5701	17.4213
64000	-268.069	-215.067	-53.002	20.5896
65000	-272.91	-210.353	-62.5571	12.162
66000	-263.938	-208.049	-55.8887	15.7201
67000	-265.977	-211.089	-54.8886	18.721
68000	-264.32	-208.526	-55.7938	17.9537
69000	-267.281	-209.773	-57.508	14.1475
70000	-265.024	-208.323	-56.7007	14.4821
71000	-263.282	-206.808	-56.4738	17.0922
72000	-267.598	-213.623	-53.9746	18.2909
73000	-270.526	-211.54	-58.9861	16.2102
74000	-260.057	-212.225	-47.832	24.9969
75000	-261.366	-207.175	-54.1913	17.2193
76000	-270.278	-210.286	-59.9922	13.5375
77000	-266.251	-215.427	-50.8242	22.9812
78000	-273.104	-212.402	-60.7015	15.0109
79000	-262.239	-215.006	-47.2329	26.448
80000	-267.325	-214.098	-53.2272	15.8565
81000	-265.773	-209.993	-55.7795	16.9416
82000	-263.291	-209.765	-53.5256	18.4008
83000	-267.793	-215.992	-51.8012	26.8703
84000	-272.564	-215.384	-57.1801	15.6216
85000	-267.181	-206.21	-60.9714	13.759
86000	-271.944	-207.202	-64.742	12.1659
87000	-279.079	-219.502	-59.577	20.6427
88000	-268.465	-208.656	-59.8088	13.8851
89000	-270.893	-211.537	-59.3564	14.8546
90000	-267.589	-216.297	-51.2928	23.5062
91000	-266.836	-214.434	-52.4019	20.9655
92000	-266.909	-208.972	-57.9367	13.828
93000	-262.178	-210.18	-51.9977	18.7082
94000	-263.632	-204.659	-58.9727	13.6091
95000	-265.151	-209.878	-55.2732	16.5152
96000	-272.208	-209.039	-63.1693	14.3799
97000	-275.213	-213.315	-61.8981	17.2716
98000	-268.35	-213.965	-54.3847	19.2251
99000	-282.79	-218.676	-64.1138	13.9179
100000	-264.341	-212.469	-51.8717	19.5582
101000	-265.307	-211.807	-53.5	19.7033
102000	-274.454	-215.808	-58.6465	16.2088
103000	-261.494	-208.645	-52.8496	19.516
104000	-265.816	-210.189	-55.6263	16.087
105000	-264.418	-209.824	-54.5935	18.2133
106000	-261.601	-209.351	-52.2499	21.0205
107000	-267.377	-211.493	-55.8837	19.715
108000	-267.424	-216.177	-51.2464	22.1902
109000	-265.695	-209.29	-56.405	15.2471
110000	-264.143	-211.942	-52.202	23.4551
