Iteration	Posterior	Likelihood	Prior	sigma
0	-314.151	-218.745	-95.4063	23.5261
1000	-311.565	-219.849	-91.7164	23.7261
2000	-322.421	-227.26	-95.1617	26.8558
3000	-316.58	-226.875	-89.7048	27.9353
4000	-317.676	-216.082	-101.595	19.1026
5000	-315.005	-217.481	-97.5243	23.1897
6000	-320.651	-228.838	-91.813	31.906
7000	-324.112	-221.787	-102.324	14.9609
8000	-322.359	-222.556	-99.8029	18.1602
9000	-312.577	-224.006	-88.5706	32.7186
10000	-316.095	-221.944	-94.1506	25.3505
11000	-312.939	-219.039	-93.9003	25.5791
12000	-317.322	-221.211	-96.111	21.6322
13000	-317.976	-227.886	-90.0907	33.8635
14000	-323.587	-224.398	-99.189	25.1258
15000	-319.594	-231.762	-87.8322	36.9679
16000	-322.295	-231.714	-90.5819	38.2552
17000	-315.121	-221.265	-93.8565	24.2445
18000	-329.102	-226.997	-102.105	22.2995
19000	-325.545	-225.202	-100.343	21.5241
20000	-323.167	-225.1	-98.0673	22.5609
21000	-322.495	-232.165	-90.3292	32.8337
22000	-322.317	-231.219	-91.098	29.1641
23000	-321.96	-226.457	-95.5034	26.1884
24000	-325.622	-227.453	-98.1691	22.1402
25000	-319.795	-220.528	-99.2664	22.2267
26000	-320.343	-224.508	-95.8354	19.3822
27000	-326.059	-228.74	-97.3188	22.3978
28000	-317.91	-220.681	-97.2296	22.8483
29000	-310.747	-222.318	-88.429	36.0966
30000	-320.04	-221.087	-98.9533	20.8144
31000	-326.972	-229.274	-97.6989	22.9742
32000	-317.218	-221.518	-95.6994	23.3597
33000	-318.601	-221.903	-96.6978	22.547
34000	-314.96	-222.411	-92.5493	25.9347
35000	-324.89	-230.749	-94.1405	28.3106
36000	-324.467	-221.236	-103.232	17.1116
37000	-318.904	-230.197	-88.7065	39.1033
38000	-320.067	-229.672	-90.3949	33.8402
39000	-313.842	-220.338	-93.5042	25.8908
40000	-316.655	-221.581	-95.0741	21.647
41000	-323.381	-232.669	-90.7118	33.6146
42000	-322.202	-227.095	-95.1062	26.5072
43000	-318.816	-223.124	-95.6918	22.3754
44000	-326.462	-235.183	-91.2792	32.1267
45000	-319.906	-225.005	-94.9017	22.8508
46000	-311.25	-225.013	-86.2369	38.7101
47000	-318.538	-223.849	-94.6884	23.5729
48000	-316.838	-222.993	-93.8447	24.6367
49000	-315.725	-220.382	-95.3433	22.179
50000	-323.263	-223.108	-100.155	23.3486
51000	-324.271	-223.957	-100.314	16.9706
52000	-327.926	-226.419	-101.508	19.525
53000	-316.872	-221.991	-94.8813	24.1438
54000	-322.8	-218.436	-104.364	17.8302
55000	-320.044	-218.568	-101.475	16.75
56000	-310.637	-218.677	-91.9598	25.8988
57000	-322.63	-225.673	-96.9571	25.5266
58000	-326.699	-229.044	-97.6551	24.1185
