Iteration	Posterior	Likelihood	Prior	sigma
0	-287.57	-217.313	-70.2566	15.9541
1000	-279.624	-221.391	-58.233	25.1593
2000	-282.272	-214.419	-67.8534	13.1727
3000	-278.946	-215.226	-63.72	19.5398
4000	-276.822	-215.936	-60.8857	20.2517
5000	-279.839	-215.601	-64.2383	16.5543
6000	-279.826	-217.437	-62.3887	17.2863
7000	-277.838	-215.866	-61.9718	19.9827
8000	-282.162	-219.075	-63.0871	18.562
9000	-279.955	-212.444	-67.5107	14.9702
10000	-284.572	-216.966	-67.6064	15.67
11000	-282.172	-221.075	-61.0969	21.8459
12000	-280.454	-211.865	-68.5889	14.7033
13000	-274.209	-217.476	-56.7336	24.8278
14000	-292.102	-218.479	-73.6232	11.6415
15000	-274.846	-214.511	-60.3356	19.7321
16000	-282.156	-219.824	-62.3317	18.892
17000	-275.361	-213.14	-62.221	19.1544
18000	-287.66	-214.246	-73.4139	12.19
19000	-278.947	-216.56	-62.3871	18.3879
20000	-292.765	-225.829	-66.9367	19.1423
21000	-277.514	-219.898	-57.616	25.6584
22000	-275.289	-217.474	-57.8142	23.7755
23000	-283.864	-221.463	-62.401	25.9424
24000	-280.066	-220.511	-59.5553	25.3694
25000	-276.216	-215.944	-60.2724	23.4662
26000	-281.552	-218.27	-63.2821	21.1496
27000	-278.756	-214.569	-64.1866	19.3395
28000	-281.049	-218.534	-62.5152	21.1876
29000	-282.799	-213.443	-69.3564	15.9454
30000	-275.346	-214.714	-60.6321	20.2874
31000	-276.496	-215.941	-60.5552	20.7279
32000	-281.038	-215.133	-65.9048	17.3384
33000	-284.736	-221.481	-63.255	17.6223
34000	-283.039	-217.687	-65.3525	17.7246
35000	-277.803	-217.88	-59.9235	21.708
36000	-287.585	-217.095	-70.49	15.4654
37000	-279.421	-218.079	-61.342	19.8284
38000	-282.184	-217.643	-64.5405	20.7825
39000	-283.473	-221.111	-62.3618	20.5123
40000	-275.391	-213.469	-61.9222	18.4406
41000	-280.021	-218.03	-61.9903	20.3236
42000	-281.466	-215.684	-65.7819	17.3159
43000	-291.099	-221.265	-69.8333	15.4473
44000	-284.288	-216.475	-67.8126	15.7128
45000	-280.81	-212.201	-68.6091	15.3173
46000	-274.731	-213.737	-60.9944	19.7727
47000	-284.577	-217.095	-67.4826	15.6203
48000	-285.733	-222.127	-63.6054	19.0299
49000	-284.822	-220.762	-64.0592	20.3126
50000	-280.744	-215.933	-64.8111	18.4169
51000	-283.483	-218.464	-65.019	18.6149
52000	-281.468	-217.964	-63.5041	22.2788
53000	-287.945	-226.971	-60.974	23.5322
54000	-279.366	-216.246	-63.1205	17.8111
55000	-283.456	-216.245	-67.2114	16.8245
56000	-279.153	-217.015	-62.1382	21.3589
57000	-279.327	-219.1	-60.227	22.8241
58000	-294.236	-217.61	-76.626	13.5885
59000	-279.6	-223.18	-56.42	34.6679
60000	-286.656	-217.7	-68.9565	16.2118
61000	-285.228	-215.319	-69.9092	15.0877
62000	-282.46	-215.44	-67.0201	16.9162
63000	-283.737	-215.33	-68.4077	15.9476
64000	-280.34	-211.982	-68.3574	12.9899
65000	-279.413	-215.025	-64.388	18.8532
66000	-278.356	-218.442	-59.914	23.9857
67000	-275.306	-211.197	-64.1092	16.5472
68000	-280.843	-211.635	-69.2081	15.5403
69000	-290.09	-215.996	-74.0934	11.4861
70000	-276.44	-214.295	-62.1451	19.9004
71000	-284.868	-215.076	-69.7923	12.972
72000	-284.249	-218.155	-66.0937	17.2487
73000	-282.199	-216.196	-66.0033	17.9189
74000	-284.146	-215.868	-68.278	16.7266
75000	-285.355	-223.719	-61.6358	21.4996
76000	-280.281	-215.041	-65.2396	14.7666
77000	-276.108	-219.04	-57.0685	27.7593
78000	-279.319	-217.832	-61.4873	22.306
79000	-281.417	-216.997	-64.42	18.2861
80000	-283.04	-217.496	-65.5441	17.2037
81000	-276.623	-218.51	-58.1134	24.1882
82000	-286.748	-227.753	-58.9947	22.7392
83000	-290.514	-223.744	-66.7696	21.8084
84000	-285.087	-217.794	-67.2935	15.1695
85000	-287.272	-214.13	-73.1412	15.6838
86000	-285.025	-221.772	-63.2527	23.6654
87000	-283.206	-222.128	-61.0781	22.0933
88000	-290.982	-225.043	-65.9388	21.8337
89000	-280.527	-219.524	-61.0026	21.6066
90000	-278.481	-218.845	-59.6359	26.5332
91000	-284.892	-223.24	-61.6525	21.5406
92000	-286.041	-216.951	-69.0905	14.7535
93000	-294.083	-223.388	-70.6954	18.6001
94000	-283.797	-218.106	-65.6907	16.0976
95000	-285.524	-223.071	-62.4533	18.364
96000	-276.675	-214.916	-61.7589	17.5102
97000	-289.284	-225.62	-63.6637	22.5432
98000	-276.396	-214.996	-61.4001	17.8997
99000	-278.42	-213.25	-65.1696	16.6424
100000	-278.896	-220.529	-58.3668	24.3526
101000	-283.052	-221.81	-61.2422	21.4695
102000	-280.149	-215.782	-64.366	16.8208
103000	-283.255	-222.981	-60.2734	21.9465
104000	-277.374	-215.87	-61.5046	21.1426
105000	-289.216	-216.488	-72.7282	15.5752
106000	-283.689	-216.983	-66.7057	16.6692
107000	-280.335	-212.187	-68.1478	16.9904
108000	-277.431	-214.869	-62.5626	18.8241
109000	-285.524	-214.432	-71.0918	14.3304
110000	-284.065	-217.561	-66.5046	18.7002
111000	-279.223	-211.646	-67.577	14.6171
112000	-281.008	-219.747	-61.2613	20.6631
113000	-282.913	-212.957	-69.9555	14.2455
114000	-287.482	-222.438	-65.0438	20.8423
115000	-283.816	-214.543	-69.273	16.5733
116000	-285.659	-218.737	-66.9224	19.9762
117000	-283.31	-224.245	-59.0648	21.8055
118000	-273.421	-212.227	-61.1942	15.9017
119000	-283.532	-217.621	-65.9111	15.2278
120000	-284.893	-223.138	-61.7546	22.7167
121000	-277.399	-214.14	-63.2596	19.3469
122000	-287.639	-228.606	-59.0327	21.6701
123000	-279.654	-216.082	-63.572	19.3809
124000	-288.732	-218.427	-70.3048	13.8966
125000	-276.81	-216.693	-60.1166	21.7906
126000	-283.098	-217.233	-65.8655	14.3862
127000	-285.617	-222.778	-62.8382	24.1211
128000	-279.088	-217.244	-61.8439	20.256
129000	-280.519	-217.386	-63.1333	18.454
130000	-283.192	-217.194	-65.9976	15.5029
131000	-277.136	-216.662	-60.4741	23.1844
132000	-280.116	-210.942	-69.1745	14.3466
133000	-285.762	-218.063	-67.6986	14.4166
134000	-282.323	-217.656	-64.6667	19.5111
135000	-279.913	-215.479	-64.4339	18.6647
136000	-280.755	-222.583	-58.1718	27.2564
137000	-279.157	-217.316	-61.8415	20.0913
138000	-281.877	-213.542	-68.3352	16.8301
139000	-278.088	-217.545	-60.5427	22.67
140000	-282.512	-223.893	-58.6194	27.2136
141000	-281.378	-213.832	-67.5463	12.1609
142000	-280.86	-220.756	-60.1045	22.4752
143000	-286.315	-212.684	-73.631	13.1298
144000	-283.458	-217.799	-65.6589	17.1904
145000	-284.407	-223.746	-60.6612	23.6429
146000	-288.133	-217.497	-70.6357	14.5579
147000	-280.981	-216.272	-64.7095	16.1462
148000	-280.734	-211.335	-69.3989	13.1634
149000	-280.721	-221.242	-59.4799	22.3248
150000	-278.67	-216.124	-62.5452	19.5282
151000	-284.478	-217.038	-67.4397	16.1935
