Iteration	Posterior	Likelihood	Prior	sigma
0	-496.53	-234.178	-262.351	37.381
1000	-493.29	-230.931	-262.358	35.7941
2000	-501.266	-240.723	-260.543	48.8816
3000	-493.482	-235.772	-257.71	49.7064
4000	-493.66	-227.116	-266.544	32.9231
5000	-501.145	-240.078	-261.067	42.9366
6000	-490.385	-229.359	-261.026	39.2438
7000	-492.699	-237.105	-255.594	52.7773
8000	-496.247	-233.078	-263.169	37.6777
9000	-494.779	-236.758	-258.021	43.7697
10000	-490.297	-232.085	-258.212	45.8509
11000	-495.402	-232.196	-263.206	41.7845
12000	-493.66	-239.643	-254.016	60.6847
13000	-491.777	-230.707	-261.07	37.5286
14000	-497.558	-226.563	-270.995	27.8022
15000	-505.451	-240.452	-264.998	44.8307
16000	-495.462	-236.301	-259.16	51.1494
17000	-498.814	-239.388	-259.427	53.8083
18000	-496.281	-231.131	-265.151	37.0784
19000	-491.386	-232.196	-259.191	45.972
20000	-495.408	-231.219	-264.189	36.7458
21000	-493.403	-233.224	-260.179	40.5361
22000	-503.592	-241.51	-262.082	44.533
23000	-496.141	-233.27	-262.871	36.2209
24000	-501.561	-232.428	-269.133	33.7
25000	-500.58	-239.172	-261.408	33.1593
26000	-503.902	-238.621	-265.281	48.8013
27000	-492.824	-233.837	-258.987	40.406
28000	-501.17	-241.228	-259.942	42.3136
29000	-498.114	-236.218	-261.896	43.0765
30000	-498.225	-232.702	-265.522	35.8048
31000	-495.838	-233.25	-262.588	38.7281
32000	-492.375	-225.428	-266.947	29.3075
33000	-488.419	-232.846	-255.574	49.8804
34000	-486.985	-232.617	-254.368	56.2175
35000	-494.623	-238.711	-255.912	58.5241
36000	-494.013	-232.835	-261.178	42.713
37000	-492.312	-229.741	-262.571	37.4976
38000	-496.895	-235.651	-261.245	47.8197
39000	-502.617	-237.642	-264.974	33.6425
40000	-492.729	-235.671	-257.057	56.8874
41000	-502.439	-239.88	-262.559	41.3508
42000	-498.208	-235.528	-262.68	47.5213
43000	-491.879	-229.356	-262.523	34.8092
44000	-491.928	-235.256	-256.672	51.6761
45000	-493.319	-236.861	-256.458	46.841
46000	-499.639	-237.26	-262.379	38.8813
47000	-491.241	-231.72	-259.521	44.4255
48000	-493.92	-235.147	-258.773	50.2837
49000	-496.544	-235.361	-261.183	41.9358
50000	-493.37	-232.847	-260.523	43.189
51000	-489.335	-231.058	-258.277	46.9746
52000	-498.27	-228.614	-269.656	29.2972
53000	-498.535	-240.849	-257.686	57.4209
54000	-505.017	-246.657	-258.36	51.071
55000	-495.537	-233.045	-262.492	41.9135
56000	-498.713	-237.453	-261.26	42.6985
57000	-489.514	-234.4	-255.114	57.0532
58000	-497.05	-237.469	-259.58	47.0028
59000	-500.405	-232.78	-267.626	34.9041
60000	-499.367	-237.475	-261.892	46.6392
61000	-489.644	-229.511	-260.133	40.1527
62000	-497.194	-232.824	-264.37	33.7174
63000	-489.815	-226.141	-263.675	34.7059
64000	-496.507	-231.88	-264.627	35.5334
65000	-498.475	-232.341	-266.134	39.7721
66000	-488.84	-231.321	-257.519	47.8521
67000	-499.737	-234.444	-265.293	35.5365
68000	-503.069	-243.886	-259.183	54.4233
69000	-492.176	-235.733	-256.443	54.9061
70000	-493.213	-230.077	-263.136	38.9401
71000	-494.099	-228.36	-265.739	34.5198
72000	-495.367	-233.569	-261.799	36.699
73000	-493.965	-236.299	-257.666	41.5662
74000	-502.836	-233.044	-269.793	29.3308
75000	-492.749	-225.912	-266.836	30.7476
76000	-500.175	-237.311	-262.865	32.8136
77000	-497.483	-232.781	-264.702	40.5212
78000	-491.118	-227.689	-263.429	37.6005
79000	-500.161	-237.761	-262.4	50.5697
80000	-490.111	-230.725	-259.386	42.3458
81000	-498.022	-233.455	-264.567	36.1123
82000	-492.157	-232.347	-259.811	32.6714
83000	-499.238	-230.825	-268.413	29.005
84000	-495.588	-231.906	-263.682	39.5392
85000	-496.903	-237.721	-259.182	51.2353
86000	-500.072	-236.109	-263.963	40.4705
87000	-496.456	-234.678	-261.778	41.5952
88000	-492.438	-234.147	-258.291	45.8201
89000	-495.415	-233.832	-261.583	42.5913
90000	-490.567	-231.01	-259.557	41.5002
91000	-496.416	-234.477	-261.939	39.9976
92000	-498.012	-234.809	-263.203	44.306
93000	-494.682	-233.499	-261.183	45.172
94000	-490.285	-231.405	-258.88	43.1446
95000	-491.749	-232.073	-259.676	36.0781
96000	-495.601	-236.252	-259.348	44.3171
97000	-489.025	-230.876	-258.149	44.7002
98000	-494.38	-234.81	-259.57	38.0028
99000	-494.629	-236.305	-258.324	44.2763
100000	-489.144	-230.534	-258.61	44.213
101000	-502.426	-238.183	-264.243	40.0397
102000	-499.146	-232.89	-266.257	34.6815
103000	-497.648	-233.009	-264.638	43.988
104000	-492.101	-231.247	-260.854	43.9778
105000	-494.441	-231.217	-263.224	36.0352
106000	-489.643	-228.336	-261.307	37.6164
107000	-498.893	-238.499	-260.394	45.0329
108000	-488.169	-230.861	-257.308	44.5868
109000	-489.889	-230.849	-259.04	43.7622
110000	-493.022	-234.42	-258.602	47.1606
111000	-496.008	-229.407	-266.601	37.5493
112000	-493.027	-235.694	-257.333	52.5652
113000	-494.26	-236.672	-257.588	41.9755
114000	-497.556	-236.934	-260.622	44.2038
115000	-493.667	-234.428	-259.24	39.0069
116000	-495.057	-237.752	-257.305	53.3314
117000	-492.921	-237.858	-255.063	57.8194
118000	-496.474	-233.216	-263.259	40.448
119000	-488.004	-232.148	-255.855	50.7672
120000	-487.341	-231.418	-255.924	48.3411
121000	-495.873	-233.397	-262.476	38.5601
122000	-493.488	-234.766	-258.723	44.0658
123000	-489.8	-227.641	-262.159	35.6548
124000	-502.38	-238.878	-263.502	36.7455
125000	-492.899	-234.447	-258.451	45.3684
126000	-490.217	-226.133	-264.084	32.7129
127000	-497.101	-231.901	-265.2	32.4523
128000	-500.7	-238.2	-262.501	38.932
129000	-509.711	-234.11	-275.6	29.962
130000	-493.535	-235.531	-258.004	44.3658
131000	-504.368	-240.311	-264.057	42.5001
132000	-499.974	-233.995	-265.979	35.8091
133000	-491.262	-234.653	-256.608	50.9703
134000	-496.219	-230.432	-265.787	36.0397
135000	-492.885	-234.477	-258.408	51.8545
136000	-490.514	-227.338	-263.176	33.6174
137000	-490.741	-227.709	-263.032	35.2961
138000	-497.412	-234.37	-263.042	47.0298
139000	-490.467	-228.858	-261.609	36.2441
140000	-492.257	-234.907	-257.349	49.3681
141000	-489.315	-231.737	-257.578	50.3978
142000	-494.905	-232.582	-262.323	42.6243
143000	-493.721	-237.007	-256.714	46.4648
144000	-499.414	-235.897	-263.517	32.4483
