Iteration	Posterior	Likelihood	Prior	sigma
0	-272.386	-226.11	-46.2762	18.9716
1000	-281.59	-227.093	-54.4974	14.0377
2000	-268.467	-226.319	-42.1485	23.0919
3000	-272.296	-227.318	-44.9784	19.3276
4000	-269.425	-223.62	-45.8051	18.5981
5000	-268.613	-224.918	-43.6958	21.5966
6000	-272.164	-226.538	-45.6255	21.0378
7000	-279.763	-230.009	-49.7539	18.6405
8000	-270.247	-226.284	-43.963	20.4804
9000	-279.803	-238.493	-41.3106	28.8779
10000	-268.995	-230.897	-38.0976	29.8445
11000	-276.841	-227.3	-49.5408	16.7696
12000	-269.93	-233.555	-36.3749	35.5434
13000	-283.067	-227.734	-55.3331	16.2601
14000	-267.432	-223.682	-43.7509	21.3309
15000	-277.456	-234.075	-43.3805	24.6782
16000	-274.264	-228.357	-45.9063	22.5319
17000	-264.125	-225.153	-38.9725	24.9046
18000	-270.411	-224.06	-46.3509	18.7828
19000	-274.185	-228.178	-46.0069	22.5347
20000	-284.164	-225.663	-58.5016	12.5412
21000	-265.175	-223.573	-41.6014	22.1478
22000	-267.706	-225.741	-41.9655	22.5542
23000	-280.056	-229.232	-50.8232	20.7792
24000	-278.262	-232.72	-45.5422	22.1972
25000	-269.828	-230.564	-39.2639	25.4189
26000	-279.905	-226.79	-53.1147	14.1347
27000	-276.193	-234.199	-41.9935	22.1755
28000	-271.576	-227.468	-44.1086	20.4278
29000	-270.025	-228.266	-41.7592	21.155
30000	-284.78	-234.381	-50.3996	17.0373
31000	-266.591	-230.752	-35.8386	29.1195
32000	-265.91	-226.476	-39.4346	23.1475
33000	-273.161	-228.808	-44.3535	19.1443
34000	-272.203	-222.69	-49.5131	14.3707
35000	-271.726	-227.515	-44.2106	20.3716
36000	-276.344	-237.778	-38.5661	32.1389
37000	-269.641	-230.821	-38.8203	26.5278
38000	-291.974	-240.429	-51.5453	23.7614
39000	-273.512	-231.631	-41.8809	27.6213
40000	-278.433	-225.861	-52.572	11.2589
41000	-271.473	-223.088	-48.3845	16.8852
42000	-270.629	-226.556	-44.0726	20.7763
43000	-269.283	-228.959	-40.3242	26.2671
44000	-276.31	-228.258	-48.0524	23.5891
45000	-279.744	-228.385	-51.3594	19.9441
46000	-267.693	-228.595	-39.0981	26.6815
47000	-271.207	-224.639	-46.5683	16.4293
48000	-268.722	-229.382	-39.3399	25.7665
