Iteration	Posterior	Likelihood	Prior	sigma
0	-472.968	-196.128	-276.84	30.336
1000	-476.028	-198.39	-277.638	37.1471
2000	-480.339	-193.462	-286.877	22.8414
3000	-483.737	-201.966	-281.771	29.4754
4000	-470.223	-189.477	-280.746	26.1556
5000	-473.883	-196.887	-276.996	31.8518
6000	-466.783	-191.854	-274.929	33.8465
7000	-472.03	-192.012	-280.019	27.391
8000	-473.844	-194.091	-279.753	26.9694
9000	-476.685	-190.019	-286.666	19.3926
10000	-493.004	-212.437	-280.567	31.3325
11000	-477.234	-196.89	-280.344	24.3476
12000	-475.483	-194.255	-281.228	27.0846
13000	-470.806	-194.066	-276.74	34.3961
14000	-478.013	-197.807	-280.206	27.6232
15000	-477.888	-197.518	-280.37	34.1959
16000	-473.458	-192.565	-280.894	24.2442
17000	-481.1	-190.297	-290.803	21.9187
18000	-483.769	-201.334	-282.435	27.9455
19000	-483.82	-201.643	-282.177	30.3295
20000	-480.311	-198.577	-281.734	25.1676
21000	-471.397	-192.231	-279.165	25.6648
22000	-473.728	-194.348	-279.38	27.0186
23000	-473.283	-196.315	-276.968	30.4447
24000	-473.683	-196.596	-277.087	34.7861
25000	-475.253	-195.872	-279.381	30.0789
26000	-477.378	-198.273	-279.105	27.7838
27000	-482.438	-203.128	-279.31	35.7242
28000	-474.664	-189.305	-285.359	23.8955
29000	-480.003	-202.506	-277.497	36.0691
30000	-481.515	-199.423	-282.092	25.9131
31000	-472.775	-200.198	-272.577	46.8734
32000	-477.478	-196.827	-280.651	31.2094
33000	-475.822	-194.276	-281.546	26.2027
34000	-472.661	-195.318	-277.343	34.8803
35000	-480.725	-196.488	-284.237	26.3205
36000	-472.454	-199.001	-273.454	46.7553
37000	-487.894	-205.028	-282.867	33.5602
38000	-478.121	-193.931	-284.19	24.8701
39000	-477.531	-193.746	-283.785	25.7493
40000	-476.653	-202.899	-273.754	41.0583
41000	-478.077	-194.631	-283.446	24.1002
42000	-476.864	-198.3	-278.564	25.9494
43000	-477.496	-195.863	-281.633	29.271
44000	-476.404	-201.563	-274.841	33.8667
45000	-474.409	-195.424	-278.986	28.7483
46000	-488.432	-208.578	-279.854	38.2398
47000	-474.323	-196.367	-277.956	33.0375
48000	-474.705	-196.273	-278.433	31.7638
49000	-483.762	-200.661	-283.102	30.3428
50000	-476.012	-200.102	-275.909	39.9245
51000	-468.039	-194.095	-273.945	34.5056
52000	-474.274	-193.12	-281.154	28.3651
53000	-482.382	-206.177	-276.206	44.4063
54000	-490.63	-208.64	-281.991	28.1177
55000	-474.144	-196.237	-277.907	35.3874
56000	-476.944	-199.995	-276.949	35.0339
57000	-475.187	-189.522	-285.665	21.8408
58000	-483.766	-198.392	-285.374	26.169
59000	-478.356	-192.961	-285.394	21.7141
60000	-473.172	-195.031	-278.142	28.8871
61000	-477.259	-193.976	-283.284	24.75
62000	-478.565	-194.015	-284.55	24.6666
63000	-477.496	-198.915	-278.581	29.9149
64000	-484.742	-198.075	-286.667	21.6496
65000	-470.146	-192.989	-277.157	31.0391
66000	-474.541	-196.17	-278.371	35.3808
67000	-475.457	-201.632	-273.825	44.796
68000	-471.974	-196.294	-275.68	32.5063
69000	-472.51	-194.615	-277.895	31.4132
70000	-477.513	-194.275	-283.238	28.0484
71000	-478.68	-197.505	-281.175	30.0136
72000	-480.308	-197.398	-282.91	27.5418
73000	-470.412	-193.859	-276.554	32.6479
74000	-488.854	-202.325	-286.528	30.2682
75000	-479.21	-196.264	-282.945	25.6241
76000	-474.186	-200.34	-273.846	46.7113
77000	-477.503	-199.274	-278.229	32.5556
78000	-473.855	-199.271	-274.585	43.6674
79000	-480	-199.971	-280.029	29.3364
80000	-479.901	-194.352	-285.549	23.518
81000	-477.534	-192.535	-284.999	26.696
82000	-482.447	-201.6	-280.848	30.0751
83000	-492.622	-208.338	-284.284	34.9738
84000	-482.135	-206.553	-275.582	46.0198
85000	-480.619	-194.63	-285.989	24.8583
86000	-480.442	-195.213	-285.229	25.5812
87000	-478.583	-201.862	-276.721	38.6451
88000	-475.446	-195.242	-280.204	28.7821
89000	-475.527	-197.897	-277.63	32.5223
90000	-479.239	-199.232	-280.006	33.5137
91000	-470.902	-196.981	-273.921	36.9904
92000	-481.809	-206.415	-275.394	43.2691
93000	-473.554	-198.4	-275.155	35.1503
94000	-471.701	-195.97	-275.731	34.7911
95000	-468.361	-192.314	-276.047	30.3327
96000	-481.708	-203.585	-278.123	31.5635
97000	-476.894	-199.583	-277.311	32.7078
98000	-475.277	-193.483	-281.794	24.2272
99000	-476.154	-189.925	-286.229	26.4159
100000	-473.986	-195.12	-278.866	27.6011
101000	-474.841	-199.458	-275.383	42.0481
102000	-473.293	-193.832	-279.46	30.9619
103000	-476.93	-192.999	-283.931	23.0641
104000	-478.97	-201.098	-277.872	33.4284
105000	-478.68	-196.242	-282.438	24.5413
106000	-484.122	-207.137	-276.985	40.0415
107000	-477.293	-194.771	-282.522	22.5719
108000	-473.934	-194.431	-279.502	31.805
109000	-477.661	-201.647	-276.014	35.2055
110000	-483.876	-197.225	-286.651	27.0567
111000	-476.56	-198.12	-278.44	33.3782
112000	-480.376	-201.908	-278.468	35.3638
113000	-476.031	-200.831	-275.2	39.0915
114000	-476.404	-194.48	-281.924	26.6412
115000	-474.679	-196.263	-278.416	32.6856
116000	-471.893	-191.789	-280.105	25.4671
117000	-469.784	-198.442	-271.342	58.0029
118000	-470.966	-193.054	-277.912	30.9787
119000	-474.835	-196.852	-277.983	30.0004
120000	-479.671	-197.783	-281.888	26.6095
121000	-474.709	-196.15	-278.559	29.0519
122000	-477.242	-198.856	-278.386	32.9289
123000	-478.077	-198.675	-279.402	27.0389
124000	-486.22	-194.212	-292.008	18.2679
125000	-469.413	-194.499	-274.914	34.4813
126000	-485.674	-200.005	-285.669	28.5322
127000	-467.91	-190.752	-277.159	28.7302
128000	-475.578	-195.807	-279.772	29.7051
129000	-478.717	-199.276	-279.441	28.0597
130000	-473.316	-195.064	-278.252	33.7448
131000	-478.039	-203.272	-274.767	40.3292
132000	-472.207	-191.389	-280.818	27.3757
133000	-480.996	-200.435	-280.561	32.8372
134000	-476.067	-196.422	-279.645	27.2352
135000	-477.747	-193.419	-284.328	24.651
136000	-470.654	-197.278	-273.375	44.5819
137000	-477.394	-202.806	-274.588	47.1865
138000	-478.771	-192.221	-286.55	20.2013
139000	-476.52	-198.268	-278.252	31.4738
140000	-484.042	-202.461	-281.581	24.6866
141000	-472.39	-197.684	-274.706	33.7334
142000	-473.147	-198.654	-274.493	39.5506
143000	-484.115	-201.764	-282.351	27.2287
144000	-472.666	-193.116	-279.551	26.7407
145000	-477.793	-198.018	-279.775	30.1586
146000	-473.653	-196.603	-277.05	34.8855
147000	-473.091	-196.012	-277.079	29.6365
148000	-477.9	-196.413	-281.487	29.2812
149000	-469.872	-194.663	-275.209	31.4239
150000	-472.455	-194.245	-278.209	33.2991
151000	-475.335	-193.003	-282.333	24.1133
152000	-475.53	-201.158	-274.372	36.6575
153000	-481.675	-201.152	-280.523	27.5881
154000	-477.745	-198.839	-278.906	32.5038
155000	-468.937	-192.554	-276.384	31.8366
156000	-480.63	-201.173	-279.458	34.1605
157000	-473.797	-197.575	-276.222	40.2688
158000	-475.438	-190.123	-285.315	22.6279
159000	-476.79	-199.053	-277.737	28.7759
160000	-479.987	-197.891	-282.096	32.3042
161000	-476.773	-198.057	-278.716	35.9368
162000	-481.044	-196.37	-284.674	25.4756
163000	-474.886	-193.373	-281.513	27.8648
164000	-473.257	-196.841	-276.416	34.1329
165000	-475.434	-194.979	-280.455	25.1635
166000	-481.741	-202.177	-279.563	32.0443
167000	-480.203	-198.701	-281.502	32.5488
168000	-475.77	-191.117	-284.653	20.2048
169000	-478.284	-195.982	-282.302	23.9437
170000	-475.326	-199.733	-275.592	39.4707
171000	-475.701	-194.872	-280.829	26.1445
172000	-471.843	-190.406	-281.437	23.2533
173000	-475.804	-195.486	-280.318	34.3462
174000	-475.312	-200.616	-274.697	40.2638
175000	-472.446	-197.696	-274.75	31.3971
