Iteration	Posterior	Likelihood	Prior	sigma
0	-490.081	-249.642	-240.439	43.3852
1000	-504.827	-266.137	-238.691	50.3362
2000	-496.013	-258.461	-237.552	53.1338
3000	-493.439	-256.75	-236.689	55.8119
4000	-492.786	-254.589	-238.197	57.6141
5000	-489.782	-248.478	-241.304	42.7635
6000	-491.779	-253.448	-238.331	54.8491
7000	-498.576	-256.374	-242.203	52.9173
8000	-495.85	-254.309	-241.542	52.8742
9000	-495.947	-254.129	-241.818	50.8584
10000	-493.217	-255.731	-237.486	57.765
11000	-497.259	-258.977	-238.282	48.1688
12000	-497.421	-256.053	-241.368	49.6763
13000	-499.413	-260.441	-238.972	61.4048
14000	-488.855	-251.746	-237.109	46.1192
15000	-497.738	-253.594	-244.144	41.483
16000	-493.497	-248.413	-245.084	40.4406
17000	-492.041	-257.52	-234.521	65.0915
18000	-489.501	-250.255	-239.247	50.3559
19000	-491.207	-252.769	-238.437	58.6301
20000	-492.6	-250.554	-242.046	37.6563
21000	-489.931	-248.936	-240.994	48.0908
22000	-495.749	-255.804	-239.945	58.8375
23000	-494.709	-252.181	-242.528	37.799
24000	-492.288	-252.343	-239.945	42.9223
25000	-496.418	-249.813	-246.604	40.6102
26000	-492.014	-247.98	-244.034	39.2117
27000	-502.002	-251.494	-250.508	39.3098
28000	-494.871	-259.206	-235.665	65.2051
29000	-495.716	-252.05	-243.666	41.6807
30000	-492.457	-251.297	-241.16	49.3555
31000	-493.701	-261.04	-232.661	79.2899
32000	-497.931	-247.15	-250.782	31.3423
33000	-489.088	-250.2	-238.887	45.4844
34000	-490.842	-246.362	-244.48	37.051
35000	-498.574	-255.705	-242.869	49.888
36000	-492.156	-253.453	-238.703	55.5505
37000	-495.203	-248.473	-246.73	36.1669
38000	-488.223	-250.328	-237.895	57.0764
39000	-490.916	-247.098	-243.819	42.2843
40000	-497.247	-255.695	-241.552	54.738
41000	-487.311	-250.089	-237.223	55.7484
42000	-501.026	-259.94	-241.086	59.4865
43000	-498.04	-252.308	-245.732	43.8558
44000	-487.942	-249.884	-238.058	51.8703
45000	-490.063	-246.062	-244	38.9672
46000	-485.743	-250.198	-235.545	48.9134
47000	-486.103	-248.939	-237.163	55.6746
48000	-493.871	-253.54	-240.33	56.5986
49000	-493.922	-253.659	-240.263	51.5118
50000	-486.465	-247.143	-239.323	44.9942
51000	-501.932	-259.365	-242.567	47.0175
52000	-496.289	-256.003	-240.286	43.5854
53000	-496.353	-251.283	-245.07	34.3792
54000	-490.254	-252.656	-237.598	46.4143
55000	-490.671	-249.769	-240.902	49.0168
56000	-493.19	-248.987	-244.203	42.3477
57000	-489.538	-244.588	-244.949	39.0188
58000	-490.75	-252.371	-238.379	57.6903
59000	-498.016	-253.743	-244.273	41.9533
60000	-491.26	-251.555	-239.705	44.536
61000	-489.532	-253.267	-236.265	54.6668
62000	-487.738	-251.496	-236.242	63.5304
63000	-500.159	-251.282	-248.877	29.9532
64000	-490.609	-254.349	-236.26	67.9875
65000	-486.709	-243.608	-243.101	36.0223
66000	-494.353	-256.515	-237.838	54.6308
67000	-495.468	-248.65	-246.818	33.5102
68000	-486.172	-249.484	-236.689	58.1832
69000	-492.221	-252.606	-239.615	44.4584
70000	-495.055	-251.872	-243.182	46.1792
71000	-500.637	-257.728	-242.909	44.1754
72000	-493.624	-252.165	-241.459	51.588
73000	-488.872	-251.366	-237.506	52.9173
74000	-499.009	-254.288	-244.721	39.6597
75000	-501.196	-256.748	-244.448	50.0111
76000	-495.427	-252.218	-243.209	47.7056
77000	-485.225	-247.194	-238.032	48.0787
78000	-488.342	-248.454	-239.888	47.7159
79000	-486.652	-251.793	-234.859	59.0714
80000	-490.396	-248.656	-241.74	47.8547
81000	-490.246	-248.743	-241.503	39.9732
82000	-494.162	-257.994	-236.168	63.8314
83000	-490.213	-248.33	-241.883	41.8058
84000	-493.038	-255.18	-237.858	51.234
85000	-488.917	-248.288	-240.629	44.1373
86000	-488.261	-251.132	-237.129	53.9022
87000	-486.798	-248.261	-238.537	52.5094
88000	-493.721	-247.574	-246.146	37.9638
89000	-500.313	-255.796	-244.517	42.4141
90000	-484.381	-249.155	-235.226	55.5525
91000	-500.098	-253.476	-246.622	43.7024
92000	-493.316	-253.367	-239.948	51.0963
93000	-491.553	-251.765	-239.788	50.5898
94000	-495.601	-253.028	-242.573	46.6209
95000	-499.342	-252.299	-247.043	33.3068
96000	-491.314	-248.897	-242.417	49.8005
97000	-492.45	-252.086	-240.364	48.1964
98000	-497.189	-250.706	-246.483	33.6493
99000	-495.862	-254.818	-241.044	44.0204
100000	-490.928	-252.246	-238.682	56.2259
101000	-490.017	-253.12	-236.897	49.7557
102000	-491.491	-251.209	-240.283	43.3719
103000	-488.738	-248.297	-240.441	43.1878
104000	-487.581	-251.711	-235.87	54.9576
105000	-490.414	-249.884	-240.53	47.921
106000	-497.508	-255.342	-242.166	45.9938
107000	-494.275	-249.918	-244.357	41.798
108000	-492.955	-253.233	-239.722	47.5762
109000	-495.45	-254.898	-240.552	46.6112
110000	-489.006	-248.268	-240.738	47.8806
111000	-493.242	-252.776	-240.466	56.4818
112000	-493.007	-249.935	-243.072	46.2038
113000	-488.991	-249.111	-239.88	47.7331
114000	-487.439	-246.393	-241.047	41.9716
115000	-492.383	-256.041	-236.341	61.0174
116000	-494.256	-247.227	-247.028	35.1934
117000	-485.615	-247.698	-237.916	51.3209
118000	-504.038	-256.691	-247.347	36.4006
119000	-489.072	-247.106	-241.966	38.3202
120000	-489.776	-251.633	-238.143	50.2639
121000	-494.382	-246.64	-247.742	37.2762
122000	-494.701	-248.49	-246.211	41.951
123000	-492.822	-253.046	-239.776	47.3014
124000	-496.888	-250.684	-246.204	37.3856
125000	-488.463	-251.274	-237.188	51.8902
126000	-488.442	-249.74	-238.703	48.9663
127000	-487.882	-249.924	-237.959	54.2163
128000	-490.126	-252.14	-237.986	47.0841
129000	-495.117	-255.533	-239.584	48.4796
130000	-495.663	-248.165	-247.498	34.7902
131000	-489.87	-248.975	-240.895	42.2139
132000	-493.653	-249.409	-244.243	40.6085
133000	-490.701	-251.623	-239.078	46.2696
134000	-488.375	-252.881	-235.494	59.6779
135000	-494.753	-252.159	-242.594	47.002
136000	-503.172	-257.969	-245.203	56.4238
137000	-488.463	-250.644	-237.819	51.4074
138000	-491.26	-247.791	-243.47	39.0989
139000	-490.176	-254.593	-235.583	57.934
140000	-495.445	-257.14	-238.305	47.8301
141000	-489.136	-249.085	-240.051	46.3291
142000	-492.101	-249.161	-242.94	40.647
143000	-492.484	-251.516	-240.968	47.9857
144000	-493.302	-255.045	-238.257	56.5598
145000	-500.213	-263.476	-236.737	67.6329
146000	-489.691	-252.986	-236.704	56.2059
147000	-491.703	-249.8	-241.903	43.8388
148000	-497.53	-247.728	-249.802	35.1545
149000	-497.423	-253.862	-243.561	49.4467
150000	-490.125	-249.332	-240.793	45.3705
151000	-487.73	-246.414	-241.316	41.3938
152000	-492.163	-253.401	-238.763	50.9765
153000	-488.41	-252.348	-236.061	57.1714
154000	-492.99	-249.472	-243.518	45.6837
155000	-492.91	-253.518	-239.393	52.6511
156000	-486.32	-246.782	-239.538	51.6135
157000	-492.755	-252.914	-239.84	49.4025
158000	-487.494	-252.433	-235.061	67.3682
159000	-491.657	-247.052	-244.605	41.3548
160000	-493.291	-249.473	-243.819	40.28
161000	-497.088	-250.688	-246.4	40.7596
162000	-492.627	-252.217	-240.411	55.1107
163000	-488.419	-251.646	-236.773	59.1594
164000	-490.111	-247.895	-242.216	48.3212
165000	-485.593	-247.621	-237.972	47.4654
166000	-489.757	-249.499	-240.258	48.8014
167000	-497.186	-252.024	-245.162	40.2358
168000	-485.393	-250.995	-234.398	61.4193
169000	-494.364	-255.915	-238.45	56.1122
170000	-497.518	-250.739	-246.779	38.615
171000	-488.947	-251.683	-237.264	51.3699
172000	-490.408	-250.478	-239.93	48.2297
173000	-489.454	-254.075	-235.378	58.624
174000	-489.842	-254.291	-235.552	62.609
175000	-504.527	-255.382	-249.145	35.0224
176000	-491.792	-258.68	-233.112	79.7292
177000	-490.946	-252.756	-238.19	55.8889
178000	-493.533	-253.219	-240.314	47.4507
179000	-488.684	-252.562	-236.122	57.0647
180000	-489.155	-248.571	-240.584	47.3613
181000	-489.293	-253.187	-236.106	51.0143
182000	-489.22	-245.484	-243.736	43.4651
183000	-492.977	-253.428	-239.549	52.9491
184000	-487.441	-252.066	-235.375	61.0274
185000	-489.441	-250.477	-238.964	44.7276
186000	-495.458	-250.229	-245.229	37.6057
187000	-491.739	-245.426	-246.312	38.2087
188000	-494.446	-257.128	-237.318	63.0464
189000	-491.419	-259.275	-232.144	76.1885
190000	-494.921	-250.306	-244.614	41.9968
191000	-494.416	-252.481	-241.935	37.4906
192000	-490.963	-247.176	-243.787	41.4204
193000	-489.914	-244.914	-245.001	35.8584
194000	-507.659	-256.155	-251.504	41.4586
195000	-488.001	-250.09	-237.911	53.3006
196000	-495.948	-255.109	-240.84	44.177
197000	-491.639	-256.924	-234.715	68.5044
198000	-485.633	-247.539	-238.094	47.8924
199000	-495.578	-249.265	-246.313	42.7692
200000	-487.231	-251.612	-235.619	60.6015
201000	-490.858	-248.485	-242.373	42.3269
202000	-501.445	-262.65	-238.796	58.9038
203000	-494.31	-254.33	-239.98	49.9893
204000	-497.118	-260.029	-237.089	54.0257
205000	-494.809	-253.687	-241.122	46.4561
206000	-495.736	-252.268	-243.468	46.5319
207000	-494.002	-254.616	-239.386	48.7473
208000	-493.221	-250.912	-242.309	42.8861
209000	-490.725	-249.427	-241.298	49.6632
