Iteration	Posterior	Likelihood	Prior	sigma
0	-349.78	-231.329	-118.451	25.9048
1000	-363.59	-240.435	-123.155	30.9962
2000	-360.38	-241.329	-119.051	28.4588
3000	-354.94	-239.617	-115.324	34.8642
4000	-347.902	-237.993	-109.908	49.6827
5000	-359.517	-237.247	-122.27	27.6854
6000	-360.657	-247.719	-112.937	51.4222
7000	-357.869	-240.399	-117.47	32.9688
8000	-354.998	-241.257	-113.741	32.8249
9000	-349.964	-239.013	-110.951	42.2051
10000	-350.581	-232.019	-118.561	28.3149
11000	-351.181	-229.658	-121.522	25.1128
12000	-361.381	-236.651	-124.73	26.3638
13000	-350.277	-235.018	-115.26	32.1078
14000	-351.119	-234.976	-116.143	27.0171
15000	-354.431	-235.642	-118.789	30.5737
16000	-346.319	-234.721	-111.599	43.843
17000	-353.664	-238.183	-115.48	35.4692
18000	-354.729	-234.78	-119.949	25.1986
19000	-350.686	-234.063	-116.623	31.9768
20000	-348.959	-235.441	-113.518	32.7371
21000	-355.929	-233.364	-122.565	28.0536
22000	-360.848	-240.653	-120.195	28.8372
23000	-351.389	-230.648	-120.74	26.0298
24000	-349.677	-231.864	-117.813	30.3362
25000	-353.299	-231.604	-121.695	22.8791
26000	-355.137	-237.274	-117.864	36.6697
27000	-361.666	-239.826	-121.84	32.409
28000	-355.306	-241.025	-114.28	44.8172
29000	-353.105	-241.882	-111.223	46.3396
30000	-351.723	-237.244	-114.48	33.4707
31000	-344.069	-231.048	-113.02	33.1691
32000	-354.9	-235.569	-119.331	25.1323
33000	-350.006	-234.067	-115.938	30.9425
34000	-348.82	-232.927	-115.893	34.0745
35000	-349.807	-232.077	-117.73	24.6028
36000	-364.44	-243.42	-121.019	36.7795
37000	-352.664	-241.736	-110.928	49.3471
38000	-360.869	-244	-116.869	39.7678
39000	-355.011	-239.374	-115.637	40.2652
40000	-351.702	-236.579	-115.123	32.8984
41000	-359.805	-237.732	-122.073	29.1197
