Iteration	Posterior	Likelihood	Prior	sigma
0	-336.835	-229.338	-107.497	26.7897
1000	-337.358	-229.708	-107.649	23.6685
2000	-334.877	-225.545	-109.333	22.6137
3000	-335.894	-220.475	-115.419	19.7574
4000	-328.348	-223.217	-105.131	25.459
5000	-325.142	-223.164	-101.977	31.3681
6000	-335.117	-225.825	-109.292	23.9146
7000	-341.788	-230.942	-110.845	27.7092
8000	-331.215	-224.304	-106.911	20.6779
9000	-325.025	-224.09	-100.934	29.3034
10000	-337.896	-229.831	-108.065	25.3614
11000	-334.37	-224.067	-110.303	24.4925
12000	-332.674	-223.134	-109.541	19.9531
13000	-328.878	-220.397	-108.48	23.1307
14000	-331.567	-226.145	-105.423	28.5504
15000	-328.318	-219.885	-108.433	23.552
16000	-340.344	-222.596	-117.748	21.1752
17000	-330.526	-219.494	-111.031	19.4763
18000	-332.533	-223.881	-108.652	22.558
19000	-335.785	-226.417	-109.368	27.2049
20000	-325.181	-219.742	-105.44	27.0106
21000	-329.321	-220.949	-108.372	21.8565
22000	-327.909	-222.588	-105.321	26.1475
23000	-328.435	-223.357	-105.078	24.2877
24000	-335.184	-225.963	-109.221	24.2665
25000	-334.813	-229.63	-105.183	30.4463
26000	-327.83	-226.443	-101.386	33.4657
27000	-338.751	-227.702	-111.049	22.2541
28000	-330.725	-222.001	-108.724	25.0721
29000	-339.923	-231.473	-108.45	27.9713
30000	-330.869	-218.652	-112.218	18.6138
31000	-341.88	-231.915	-109.965	28.9082
32000	-329.182	-230.209	-98.9726	49.5609
33000	-340.433	-227.606	-112.828	22.1527
34000	-335.249	-231.075	-104.174	35.3357
35000	-327.923	-223.386	-104.537	29.6116
36000	-340.862	-223.698	-117.164	17.3281
37000	-329.399	-221.696	-107.703	26.3709
38000	-331.266	-223.602	-107.663	23.1622
39000	-331.541	-225.9	-105.641	29.5469
40000	-342.206	-241.467	-100.739	49.3004
41000	-337.37	-231.815	-105.555	27.9303
42000	-330.884	-229.043	-101.842	33.9182
43000	-341.093	-224.716	-116.377	18.1707
44000	-327.332	-224.305	-103.026	29.2486
45000	-337.506	-221.168	-116.338	17.6655
46000	-337.931	-226.708	-111.223	20.0374
47000	-335.429	-227.062	-108.366	20.127
48000	-333.744	-219.002	-114.741	19.0023
49000	-331.557	-224.785	-106.772	25.3996
50000	-337.057	-225.147	-111.909	23.0228
51000	-334.711	-228.168	-106.543	29.3526
52000	-333.616	-224.641	-108.974	27.2833
53000	-331.466	-226.039	-105.427	26.5593
54000	-330.242	-225.622	-104.621	27.688
55000	-333.678	-224.732	-108.946	23.2181
56000	-333.87	-222.841	-111.029	21.1868
57000	-329.99	-227.809	-102.181	39.8235
58000	-341.605	-226.854	-114.751	23.7849
59000	-335.704	-226.256	-109.448	23.9207
60000	-333.914	-223.121	-110.794	21.9903
61000	-326.155	-226.172	-99.9834	37.1638
62000	-343.759	-227.675	-116.085	21.7285
63000	-338.28	-225.591	-112.688	19.4133
64000	-338.919	-225.09	-113.83	20.0759
65000	-336.928	-227.298	-109.63	27.353
66000	-331.482	-227.832	-103.649	36.5282
67000	-327.338	-222.533	-104.805	26.8411
68000	-329.8	-228.355	-101.445	38.3337
69000	-332.218	-222.074	-110.144	22.1958
70000	-345.604	-231.618	-113.987	24.96
71000	-331.792	-221.773	-110.018	20.4729
72000	-332.711	-228.625	-104.086	31.9388
73000	-327.104	-221.385	-105.719	22.9447
74000	-326.308	-222.309	-103.998	30.4715
75000	-330.867	-226.53	-104.336	31.3746
76000	-336.619	-231.913	-104.706	31.1897
77000	-330.717	-220.017	-110.7	23.4072
78000	-339.247	-232.503	-106.743	28.6825
79000	-339.938	-231.755	-108.183	25.5912
80000	-338.107	-224.708	-113.398	22.535
81000	-331.251	-227.213	-104.038	31.5655
82000	-332.902	-222.177	-110.725	21.0701
83000	-336.292	-232.244	-104.048	28.7656
84000	-330.248	-221.787	-108.461	26.8504
85000	-335.154	-223.296	-111.858	19.5649
86000	-335.643	-230.937	-104.706	31.7681
87000	-337.963	-230.292	-107.671	24.4322
88000	-330.344	-225.449	-104.895	31.2085
89000	-328.596	-220.929	-107.668	20.875
