Iteration	Posterior	Likelihood	Prior	sigma
0	-440.079	-251.679	-188.4	53.6324
1000	-440.513	-245.12	-195.393	41.2153
2000	-439.794	-246.796	-192.998	41.7339
3000	-436.758	-244.986	-191.772	40.5861
4000	-440.513	-247.099	-193.414	45.7556
5000	-445.176	-248.754	-196.422	40.5876
6000	-441.417	-250.055	-191.361	46.5326
7000	-445.744	-252.804	-192.94	46.5387
8000	-440.601	-245.149	-195.452	42.2291
9000	-442.975	-247.215	-195.76	40.4686
10000	-439.527	-245.173	-194.354	39.7932
11000	-444.379	-246.276	-198.102	40.8614
12000	-435.085	-242.47	-192.615	39.853
13000	-442.485	-253.302	-189.183	59.1884
14000	-440.518	-244.801	-195.717	41.9558
15000	-439.728	-248.195	-191.533	39.0785
16000	-445.163	-251.402	-193.761	48.2381
17000	-433.533	-243.231	-190.302	51.2333
18000	-440.075	-245.789	-194.287	46.3334
19000	-440.621	-246.073	-194.548	46.7465
20000	-436.335	-242.747	-193.589	37.7125
21000	-441.557	-249.449	-192.107	46.421
22000	-440.747	-245.278	-195.469	40.1631
23000	-439.6	-249.579	-190.021	48.4797
24000	-442.394	-252.155	-190.24	49.3978
25000	-445.981	-243.296	-202.684	38.2211
26000	-441.415	-247.307	-194.108	43.3298
27000	-442.329	-248.976	-193.353	49.3309
28000	-436.986	-244.382	-192.603	41.6457
29000	-438.464	-248.43	-190.035	47.0601
30000	-436.021	-245.147	-190.874	49.8178
31000	-444.59	-252.727	-191.863	49.6727
32000	-448.499	-253.844	-194.655	46.9879
33000	-448.857	-250.647	-198.21	38.6251
34000	-438.229	-246.237	-191.992	43.3811
35000	-443.348	-246.7	-196.648	35.0599
36000	-439.874	-243.971	-195.904	38.6427
37000	-447.478	-257.812	-189.666	65.4029
38000	-440.794	-248.353	-192.441	43.2188
39000	-440.56	-246.948	-193.612	43.9351
40000	-439.851	-243.565	-196.286	40.8114
41000	-438.492	-247.579	-190.912	47.3089
42000	-434.926	-247.314	-187.612	63.2441
43000	-438.835	-248.016	-190.818	52.078
44000	-445.646	-246.046	-199.601	37.1411
45000	-439.792	-248.677	-191.115	47.716
46000	-445.263	-249.762	-195.501	34.9676
47000	-442.889	-249.255	-193.634	45.33
48000	-441.758	-245.998	-195.759	34.729
49000	-444.599	-241.792	-202.808	29.1312
50000	-440.841	-251.286	-189.554	60.9455
51000	-438.747	-248.681	-190.066	51.649
52000	-445.166	-249.818	-195.348	44.458
53000	-441.77	-245.603	-196.167	37.8289
54000	-437.379	-246.231	-191.148	44.5298
55000	-445.431	-243.186	-202.245	30.3174
56000	-445.195	-252.86	-192.335	42.608
57000	-438.917	-249.188	-189.729	57.6414
58000	-445.938	-247.395	-198.543	32.8172
