Iteration	Posterior	Likelihood	Prior	sigma
0	-302.324	-246.342	-55.9824	19.9615
1000	-308.621	-246.156	-62.466	16.01
2000	-304.048	-249.031	-55.0171	26.0929
3000	-300.564	-245.598	-54.9658	22.271
4000	-299.741	-248.975	-50.7651	30.0343
5000	-304.805	-247.183	-57.6219	21.8094
6000	-305.947	-250.703	-55.2433	23.8751
7000	-306.208	-250.57	-55.6373	25.9482
8000	-307.927	-256.166	-51.7608	26.7599
9000	-300.65	-249.057	-51.5932	25.1631
10000	-297.996	-245.199	-52.7967	24.9221
11000	-299.971	-246.512	-53.4593	29.3905
12000	-301.211	-248.954	-52.2564	24.2307
13000	-303.601	-245.734	-57.8669	21.3768
14000	-303.255	-242.734	-60.5204	18.2695
15000	-305.553	-252.865	-52.6884	29.0898
16000	-301.034	-246.386	-54.648	22.0424
17000	-296.884	-243.635	-53.2489	25.7823
18000	-303.163	-247.464	-55.6991	22.6979
19000	-308.854	-247.317	-61.5372	17.263
20000	-313.879	-255.928	-57.9509	28.707
21000	-304.318	-255.188	-49.131	28.8906
22000	-297.288	-243.346	-53.9422	23.4767
23000	-297.249	-244.903	-52.3461	23.9945
24000	-302.75	-247.652	-55.0979	25.6525
25000	-302.666	-247.603	-55.063	21.2299
26000	-304.476	-241.755	-62.7217	17.0697
27000	-304.116	-243.072	-61.0442	19.327
28000	-307.098	-248.368	-58.7293	18.6611
29000	-313.076	-247.611	-65.4656	16.4377
30000	-300.297	-249.652	-50.6456	27.8142
31000	-298.558	-242.727	-55.8308	21.8266
32000	-303.633	-246.843	-56.7904	21.1202
33000	-301.39	-246.96	-54.4301	26.2402
34000	-298.729	-248.984	-49.7445	30.9485
35000	-300.427	-249.744	-50.6834	30.0962
36000	-307.417	-249.675	-57.7421	21.1862
37000	-307.344	-245.678	-61.6663	18.0924
38000	-302.169	-246.609	-55.5595	23.4656
39000	-309.284	-255.245	-54.0399	27.3608
40000	-297.484	-243.222	-54.2614	25.0147
41000	-303.749	-253.07	-50.6784	27.3618
42000	-298.703	-247.268	-51.4355	30.776
43000	-302.069	-246.238	-55.8305	22.7997
44000	-305.143	-241.402	-63.7412	15.2802
45000	-306.484	-250.109	-56.3747	23.4513
46000	-301.552	-242.005	-59.547	19.9159
47000	-310.785	-243.716	-67.0687	17.7992
48000	-305.413	-251.732	-53.6802	23.1348
49000	-306.524	-251.079	-55.4446	26.8763
50000	-305.475	-246.523	-58.9526	20.1759
51000	-299.324	-243.898	-55.4266	22.8557
52000	-309.616	-251.648	-57.9687	24.7722
53000	-298.263	-244.009	-54.2544	22.8496
54000	-297.679	-248.767	-48.9116	33.0941
55000	-306.946	-244.141	-62.8052	16.869
56000	-305.676	-244.73	-60.9451	19.126
57000	-303.821	-244.038	-59.7825	22.8507
58000	-300.427	-246.287	-54.1398	23.8455
59000	-305.543	-243.535	-62.0081	18.8555
60000	-309.904	-250.225	-59.6786	22.381
61000	-299.269	-248.42	-50.8484	26.4727
62000	-309.522	-252.458	-57.0634	26.2602
63000	-304.68	-250.944	-53.7364	27.3268
64000	-311.166	-239.87	-71.2965	12.545
65000	-295.385	-243.969	-51.4157	26.5711
66000	-307.736	-249.921	-57.8145	25.0329
67000	-308.523	-247.46	-61.0626	18.7918
68000	-303.182	-246.731	-56.4517	20.3731
69000	-298.305	-246.664	-51.6411	25.3122
70000	-301.92	-246.228	-55.6923	21.4237
71000	-296.095	-245.308	-50.7871	26.5811
72000	-311.136	-251.357	-59.7787	18.6544
73000	-305.194	-253.92	-51.2735	27.005
74000	-300.646	-247.911	-52.7347	27.9359
75000	-303.725	-249.427	-54.2982	26.4791
76000	-306.281	-245.269	-61.0111	18.8077
77000	-303.334	-250.558	-52.7764	31.072
78000	-300.717	-249.136	-51.5803	27.0249
79000	-301.429	-252.786	-48.6433	39.697
80000	-302.497	-250.12	-52.3765	29.7031
81000	-301.416	-244.822	-56.594	22.8921
82000	-305.031	-248.983	-56.0479	25.8528
83000	-306.115	-251.817	-54.2974	26.7413
84000	-298.467	-251.81	-46.6571	39.2959
85000	-306.447	-250.715	-55.7324	22.2608
86000	-301.303	-242.605	-58.6979	21.7806
87000	-302.751	-238.664	-64.0865	15.7739
88000	-306.508	-253.342	-53.1658	27.5524
89000	-296.764	-251.381	-45.3835	45.6987
90000	-297.707	-242.846	-54.8601	21.2724
91000	-304.749	-247.911	-56.8379	24.3562
92000	-302.96	-245.088	-57.8723	22.5329
93000	-313.565	-256.252	-57.3126	22.4082
94000	-300.32	-247.703	-52.6174	31.3991
95000	-297.639	-247.818	-49.8204	32.8273
96000	-298.376	-242.608	-55.7683	22.6559
97000	-302.603	-246.928	-55.6748	25.4207
98000	-306.712	-251.55	-55.1616	19.6638
99000	-304.445	-247.659	-56.7862	22.5472
100000	-306.144	-249.471	-56.6729	21.9557
101000	-302.549	-256.841	-45.708	44.3977
102000	-302.958	-248.089	-54.8688	21.1473
103000	-309.702	-256.559	-53.143	28.1802
104000	-298.42	-244.145	-54.2747	22.3601
105000	-307.557	-247.066	-60.4916	20.5941
106000	-300.935	-244.364	-56.5709	19.1307
107000	-303.927	-247.941	-55.9858	22.843
108000	-302.415	-245.843	-56.5722	22.876
109000	-302.701	-248.443	-54.2579	26.5672
110000	-300.743	-243.481	-57.2612	21.8271
111000	-295.693	-244.857	-50.8351	26.7786
112000	-309.266	-248.535	-60.7312	20.0181
113000	-298.859	-243.308	-55.5511	20.3784
114000	-308.45	-247.196	-61.2537	21.1842
115000	-318.196	-261.08	-57.1157	29.8921
116000	-309.3	-251.166	-58.1336	23.5346
117000	-307.967	-252.211	-55.7556	27.0688
118000	-297.886	-241.129	-56.7572	19.9828
119000	-305.392	-251.042	-54.3497	26.1785
120000	-297.253	-241.453	-55.8006	18.6937
121000	-301.173	-250.264	-50.9085	28.5766
122000	-296.988	-246.475	-50.5132	29.9874
123000	-299.207	-243.924	-55.2825	22.4707
124000	-306.319	-253.287	-53.0317	35.4756
125000	-300.615	-242.922	-57.6922	22.842
126000	-302.893	-253.793	-49.0998	33.0215
127000	-300.728	-244.093	-56.6343	21.3272
128000	-305.817	-247.36	-58.4566	19.7045
129000	-304.669	-242.664	-62.0057	17.8327
130000	-304.004	-242.297	-61.7072	19.8709
131000	-298.828	-243.87	-54.9585	23.0011
132000	-298.265	-243.951	-54.3148	23.1187
133000	-307.416	-248.808	-58.6079	20.7083
134000	-306.28	-254.036	-52.244	35.3643
135000	-299.565	-246.305	-53.26	24.9582
136000	-303.576	-250.595	-52.9807	26.1985
137000	-306.82	-254.693	-52.1269	34.4809
138000	-308.122	-245.659	-62.4628	15.1189
139000	-302.612	-246.476	-56.1359	22.4829
140000	-311.46	-259.867	-51.5931	36.4515
141000	-311.063	-253.383	-57.6804	29.1845
142000	-310.131	-245.298	-64.8334	18.3824
143000	-305.599	-245.018	-60.5811	17.6565
144000	-299.807	-247.686	-52.1208	25.2288
145000	-308.858	-249.277	-59.5802	24.8246
146000	-315.268	-258.991	-56.2763	31.4836
147000	-305.099	-252.183	-52.9153	25.9119
148000	-306.96	-253.465	-53.4949	26.085
149000	-308.563	-255.32	-53.2431	33.6006
150000	-299.008	-249.527	-49.4814	33.8263
151000	-296.001	-242.38	-53.6206	21.5676
152000	-305.949	-251.047	-54.9016	24.5995
153000	-307.037	-250.458	-56.5786	23.6963
154000	-315.409	-247.532	-67.8766	19.0476
155000	-298.69	-250.193	-48.4967	32.9905
156000	-304.587	-253.295	-51.292	27.6155
157000	-305.682	-249.814	-55.8686	26.0863
158000	-300.692	-244.742	-55.9494	20.3847
159000	-301.556	-246.389	-55.1667	23.2758
160000	-306.401	-239.66	-66.741	15.7854
161000	-306.515	-246.422	-60.0928	18.3902
162000	-310.093	-253.293	-56.8005	25.3745
163000	-307.293	-254.13	-53.1634	31.91
164000	-297.293	-246.688	-50.605	28.1461
165000	-299.908	-247.253	-52.6547	28.1567
166000	-305.527	-251.758	-53.7687	27.3469
167000	-306.576	-248.095	-58.4808	22.3271
168000	-306.889	-255.929	-50.9602	34.5036
169000	-303.214	-247.423	-55.7914	21.4793
170000	-301.29	-248.994	-52.2968	29.7937
171000	-302.92	-244.55	-58.3702	20.5975
172000	-308.068	-251.859	-56.2099	21.5757
173000	-301.132	-247.036	-54.0962	23.9861
174000	-304.985	-248.453	-56.5328	21.985
175000	-304.087	-247.059	-57.0286	23.8174
176000	-297.995	-246.975	-51.0201	28.0983
177000	-300.001	-245.096	-54.9055	22.8192
178000	-302.064	-248.509	-53.5546	24.4234
179000	-308.455	-259.258	-49.1965	34.5933
180000	-303.469	-250.767	-52.702	24.742
181000	-297.332	-243.85	-53.4818	22.73
182000	-301.876	-249.721	-52.1549	29.6309
183000	-305.918	-248.433	-57.4851	22.0688
184000	-299.369	-248.948	-50.4212	29.3581
185000	-306.051	-249.388	-56.6628	24.2661
186000	-305.567	-251.065	-54.5015	23.5238
187000	-305.648	-250.985	-54.6633	26.8386
188000	-297.82	-243.432	-54.3881	22.6223
189000	-295.321	-243.175	-52.1463	26.3864
190000	-306.073	-251.7	-54.3727	24.6897
191000	-308.702	-250.671	-58.0307	22.2978
192000	-298.643	-247.546	-51.0974	26.7546
193000	-299.871	-244.658	-55.213	24.8907
194000	-299.327	-242.94	-56.3872	23.5276
195000	-303.999	-249.333	-54.6656	26.7266
196000	-304.785	-246.74	-58.0445	19.963
197000	-306.081	-248.733	-57.3481	22.2147
198000	-315.174	-256.627	-58.5465	27.1601
199000	-304.599	-252.625	-51.9748	30.6099
200000	-304.236	-251.065	-53.1706	26.2403
201000	-310.999	-248.665	-62.334	15.7268
202000	-303.227	-248.72	-54.5069	25.702
203000	-304.369	-249.414	-54.9553	25.569
204000	-303.734	-248.125	-55.6087	24.0475
205000	-300.125	-248.382	-51.743	25.9235
206000	-305.631	-253.288	-52.3423	25.8319
207000	-307.431	-245.583	-61.8487	20.7787
208000	-303.054	-252.948	-50.1055	30.2416
209000	-300.296	-243.317	-56.9787	21.4506
210000	-315.382	-250.327	-65.0546	23.202
211000	-301.398	-252.287	-49.1114	34.6525
212000	-294.149	-242.759	-51.3897	28.5263
213000	-304.722	-251.486	-53.236	29.3763
214000	-304.97	-250.148	-54.8219	24.3777
215000	-298.316	-244.43	-53.8853	22.9099
216000	-312.421	-257.317	-55.1038	31.8651
217000	-298.413	-243.8	-54.6122	23.0211
218000	-320.906	-259.772	-61.1341	26.5388
