Iteration	Posterior	Likelihood	Prior	sigma
0	-286.709	-239.614	-47.095	25.4446
1000	-291.155	-237.23	-53.9245	16.6963
2000	-281.592	-233.283	-48.3096	24.0513
3000	-284.153	-235.424	-48.7283	23.7021
4000	-284.44	-238.558	-45.8825	26.6999
5000	-290.048	-245.485	-44.563	36.8305
6000	-291.451	-237.441	-54.0102	19.0185
7000	-292.784	-241.672	-51.1119	23.6982
8000	-290.824	-239.251	-51.5736	20.8439
9000	-287.776	-237.76	-50.0157	22.6255
10000	-291.812	-237.872	-53.9404	23.2008
11000	-289.153	-238.915	-50.2387	19.9555
12000	-287.389	-242.15	-45.2389	30.7057
13000	-294.08	-237.288	-56.7916	16.5802
14000	-288.604	-240.67	-47.9345	25.3177
15000	-286.841	-237.367	-49.4732	23.5694
16000	-282.687	-238.307	-44.3796	30.3769
17000	-308.414	-246.089	-62.3244	16.8077
18000	-285.86	-237.541	-48.3189	26.3305
19000	-293.417	-236.307	-57.1101	17.9302
20000	-287.257	-242.23	-45.0275	31.4161
21000	-285.798	-235.831	-49.9667	24.0667
22000	-291.276	-237.355	-53.9211	20.7571
23000	-292.829	-241.833	-50.9962	24.0892
24000	-282.763	-237.026	-45.7368	25.6973
25000	-294.857	-240.17	-54.687	22.8335
26000	-288.528	-239.48	-49.0487	22.958
27000	-296.071	-240.131	-55.9393	18.2012
28000	-290.723	-240.857	-49.8661	22.6734
29000	-288.337	-241.148	-47.1883	27.8239
30000	-296.56	-243.894	-52.6663	20.8492
31000	-291.219	-237.07	-54.1486	16.1968
32000	-285.37	-241.473	-43.8964	35.3802
33000	-289.418	-243.327	-46.0904	27.3076
34000	-281.011	-236.457	-44.5544	30.5341
35000	-290.6	-238.773	-51.8268	19.2263
36000	-289.642	-235.221	-54.4202	20.4633
37000	-288.51	-241.702	-46.8085	29.4799
38000	-299.786	-241.596	-58.1901	16.6028
39000	-287.847	-238.966	-48.8814	27.3416
40000	-290.677	-243.39	-47.2865	28.5614
41000	-291.416	-237.595	-53.8211	19.5285
42000	-290.5	-245.962	-44.5375	36.2867
43000	-285.186	-233.417	-51.7696	19.8261
44000	-285.665	-236.606	-49.0591	23.3481
45000	-292.27	-243.154	-49.1163	24.0107
46000	-285.912	-235.862	-50.0502	22.3378
47000	-286.618	-239.264	-47.3538	29.1302
48000	-282.691	-235.904	-46.7877	27.1738
49000	-296.878	-244.477	-52.4004	25.7336
50000	-288.853	-236.966	-51.8871	19.7114
51000	-289.933	-235.095	-54.8384	18.3677
52000	-287.868	-234.15	-53.7182	17.7028
53000	-288.756	-238.343	-50.413	21.8539
54000	-283.277	-236.592	-46.6843	28.3646
55000	-291.31	-236.298	-55.0114	17.3835
56000	-284.789	-237.85	-46.9392	26.789
57000	-288.694	-237.586	-51.1078	20.4366
58000	-284.244	-233.686	-50.558	22.5021
59000	-294.822	-245.535	-49.2877	22.7769
60000	-288.601	-234.981	-53.6198	18.2529
61000	-285.284	-236.022	-49.262	24.1206
62000	-294.447	-247.244	-47.2028	32.1794
63000	-295.666	-247.271	-48.395	34.3311
64000	-291.068	-242.881	-48.187	29.4648
65000	-287.209	-239.793	-47.4159	27.9509
66000	-284.195	-234.693	-49.5026	23.7944
67000	-284.083	-233.506	-50.5768	23.0814
68000	-288.181	-239.5	-48.6801	21.5353
69000	-282.201	-237.689	-44.5118	29.3174
70000	-296.213	-244.302	-51.9103	24.3711
71000	-287.309	-238.77	-48.5384	25.9916
72000	-283.588	-234.029	-49.5589	20.6122
73000	-287.917	-242.211	-45.706	28.3507
74000	-287.575	-240.419	-47.1557	25.5702
75000	-282.472	-239.535	-42.937	32.1038
76000	-285.903	-235.73	-50.1734	24.6358
77000	-289.397	-238.446	-50.9504	20.9003
78000	-293.626	-252.125	-41.5016	46.0212
79000	-280.8	-239.521	-41.2792	37.4434
80000	-281.257	-235.212	-46.0453	24.7692
81000	-286.328	-244.783	-41.5451	31.9595
82000	-294.304	-243.891	-50.4132	27.3257
83000	-281.615	-238.821	-42.7938	32.0448
84000	-298.873	-240.894	-57.9787	16.9892
85000	-295.768	-236.686	-59.0817	17.1072
86000	-290.487	-231.696	-58.7911	16.4234
87000	-288.911	-240.034	-48.8762	25.6673
88000	-299.912	-248.115	-51.7971	24.1391
89000	-286.834	-233.468	-53.3654	18.9401
90000	-293.232	-244.364	-48.8682	30.5469
91000	-287.158	-244.889	-42.2684	31.7624
92000	-290.155	-237.487	-52.6677	19.414
93000	-279.961	-237.66	-42.3015	33.4414
94000	-288.957	-235.669	-53.2882	19.8268
95000	-295.259	-238.507	-56.7519	19.515
96000	-292.814	-242.157	-50.6579	22.3347
97000	-293.376	-239.182	-54.1939	18.5745
98000	-289.626	-236.245	-53.3811	19.9244
99000	-284.844	-237.799	-47.0447	28.2611
100000	-295.765	-242.554	-53.2103	23.7856
101000	-289.514	-241.751	-47.7638	30.6871
102000	-289.037	-237.414	-51.6231	20.667
103000	-296.076	-239.644	-56.4317	18.1543
104000	-297.895	-248.551	-49.3445	27.997
105000	-284.867	-239.839	-45.0276	27.5378
106000	-288.939	-241.34	-47.599	27.9475
107000	-285.81	-238.872	-46.9377	28.4183
108000	-294.111	-238.318	-55.7931	19.9412
109000	-289.595	-239.859	-49.7357	25.3278
110000	-284.23	-231.177	-53.0533	18.475
111000	-291.051	-240.455	-50.5958	23.9401
112000	-288.658	-240.861	-47.7973	27.5422
113000	-284.609	-236.89	-47.7195	24.2415
114000	-290.638	-240.072	-50.5659	19.8379
115000	-288.777	-239.538	-49.239	24.3821
116000	-286.428	-239.298	-47.1299	26.711
117000	-283.636	-236.554	-47.0815	23.9272
118000	-293.204	-234.444	-58.7601	16.705
119000	-286.386	-239.989	-46.3972	26.7255
120000	-290.259	-241.113	-49.1463	28.9296
121000	-290.276	-248.264	-42.0119	36.9767
122000	-287.426	-233.668	-53.7585	17.2862
123000	-287.087	-238.496	-48.5905	28.5468
124000	-281.4	-235.472	-45.928	27.432
125000	-286.407	-235.079	-51.3275	21.3884
126000	-291.533	-246.23	-45.3035	30.5285
127000	-290.758	-237.147	-53.6105	21.1593
128000	-290.589	-238.179	-52.4091	22.5107
129000	-287.501	-237.014	-50.4862	23.3973
130000	-288.868	-238.298	-50.5698	20.1903
131000	-291.071	-241.225	-49.8467	24.3061
132000	-281.672	-236.126	-45.5458	24.813
133000	-285.745	-240.068	-45.6775	26.8061
134000	-285.096	-246.407	-38.6892	48.2794
135000	-284.69	-234.446	-50.2439	19.5251
136000	-291.646	-244.097	-47.5485	27.6086
137000	-297.225	-240.611	-56.613	20.8645
138000	-295.99	-241.019	-54.9714	21.9577
139000	-286.449	-236.032	-50.4174	19.085
140000	-288.426	-240.963	-47.4625	27.172
141000	-294.167	-238.219	-55.9476	20.1439
142000	-291.444	-238.964	-52.4794	20.5696
143000	-296.02	-243.545	-52.4747	25.9318
144000	-287.167	-238.931	-48.2355	30.5016
145000	-291.383	-238.404	-52.9792	21.1311
